"region";"sex";"age";"Persons 2020"
"K-3001 Halden";"Females";"26 years";161
"K-3001 Halden";"Females";"27 years";175
"K-3001 Halden";"Females";"28 years";180
"K-3001 Halden";"Females";"29 years";197
"K-3001 Halden";"Females";"30 years";178
"K-3001 Halden";"Females";"31 years";192
"K-3001 Halden";"Females";"32 years";174
"K-3001 Halden";"Females";"33 years";197
"K-3001 Halden";"Females";"34 years";176
"K-3001 Halden";"Females";"35 years";204
"K-3001 Halden";"Females";"36 years";159
"K-3001 Halden";"Females";"37 years";190
"K-3001 Halden";"Females";"38 years";186
"K-3001 Halden";"Females";"39 years";192
"K-3001 Halden";"Females";"40 years";183
"K-3001 Halden";"Females";"41 years";176
"K-3001 Halden";"Females";"42 years";197
"K-3001 Halden";"Females";"43 years";183
"K-3001 Halden";"Females";"44 years";212
"K-3001 Halden";"Females";"45 years";215
"K-3001 Halden";"Females";"46 years";207
"K-3001 Halden";"Females";"47 years";241
"K-3001 Halden";"Females";"48 years";210
"K-3001 Halden";"Females";"49 years";212
"K-3001 Halden";"Females";"50 years";219
"K-3001 Halden";"Females";"51 years";252
"K-3001 Halden";"Females";"52 years";221
"K-3001 Halden";"Females";"53 years";229
"K-3001 Halden";"Females";"54 years";230
"K-3001 Halden";"Females";"55 years";202
"K-3001 Halden";"Females";"56 years";196
"K-3001 Halden";"Females";"57 years";201
"K-3001 Halden";"Females";"58 years";186
"K-3001 Halden";"Females";"59 years";212
"K-3001 Halden";"Females";"60 years";214
"K-3001 Halden";"Females";"61 years";196
"K-3001 Halden";"Females";"62 years";192
"K-3001 Halden";"Females";"63 years";180
"K-3001 Halden";"Females";"64 years";206
"K-3001 Halden";"Females";"65 years";179
"K-3001 Halden";"Females";"66 years";202
"K-3001 Halden";"Females";"67 years";152
"K-3001 Halden";"Females";"68 years";195
"K-3001 Halden";"Females";"69 years";182
"K-3001 Halden";"Females";"70 years";179
"K-3001 Halden";"Females";"71 years";178
"K-3001 Halden";"Females";"72 years";213
"K-3001 Halden";"Females";"73 years";205
"K-3001 Halden";"Females";"74 years";193
"K-3001 Halden";"Females";"75 years";140
"K-3001 Halden";"Females";"76 years";133
"K-3001 Halden";"Females";"77 years";104
"K-3001 Halden";"Females";"78 years";117
"K-3001 Halden";"Females";"79 years";110
"K-3001 Halden";"Females";"80 years";104
"K-3001 Halden";"Females";"81 years";85
"K-3001 Halden";"Females";"82 years";76
"K-3001 Halden";"Females";"83 years";79
"K-3001 Halden";"Females";"84 years";78
"K-3001 Halden";"Females";"85 years";67
"K-3001 Halden";"Females";"86 years";50
"K-3001 Halden";"Females";"87 years";57
"K-3001 Halden";"Females";"88 years";71
"K-3001 Halden";"Females";"89 years";44
"K-3001 Halden";"Females";"90 years";37
"K-3001 Halden";"Females";"91 years";31
"K-3001 Halden";"Females";"92 years";29
"K-3001 Halden";"Females";"93 years";34
"K-3001 Halden";"Females";"94 years";16
"K-3001 Halden";"Females";"95 years";14
"K-3001 Halden";"Females";"96 years";11
"K-3001 Halden";"Females";"97 years";9
"K-3001 Halden";"Females";"98 years";12
"K-3001 Halden";"Females";"99 years";3
"K-3001 Halden";"Females";"100 years";2
"K-3001 Halden";"Females";"101 years";3
"K-3001 Halden";"Females";"102 years";0
"K-3001 Halden";"Females";"103 years";0
"K-3001 Halden";"Females";"104 years";0
"K-3001 Halden";"Females";"105 years or older";0
"K-3002 Moss";"Males";"0 years";216
"K-3002 Moss";"Males";"1 year";226
"K-3002 Moss";"Males";"2 years";223
"K-3002 Moss";"Males";"3 years";246
"K-3002 Moss";"Males";"4 years";290
"K-3002 Moss";"Males";"5 years";277
"K-3002 Moss";"Males";"6 years";255
"K-3002 Moss";"Males";"7 years";267
"K-3002 Moss";"Males";"8 years";298
"K-3002 Moss";"Males";"9 years";275
"K-3002 Moss";"Males";"10 years";305
"K-3002 Moss";"Males";"11 years";291
"K-3002 Moss";"Males";"12 years";322
"K-3002 Moss";"Males";"13 years";310
"K-3002 Moss";"Males";"14 years";295
"K-3002 Moss";"Males";"15 years";314
"K-3002 Moss";"Males";"16 years";289
"K-3002 Moss";"Males";"17 years";312
"K-3002 Moss";"Males";"18 years";330
"K-3002 Moss";"Males";"19 years";323
"K-3002 Moss";"Males";"20 years";311
"K-3002 Moss";"Males";"21 years";296
"K-3002 Moss";"Males";"22 years";275
"K-3002 Moss";"Males";"23 years";296
"K-3002 Moss";"Males";"24 years";297
"K-3002 Moss";"Males";"25 years";257
"K-3002 Moss";"Males";"26 years";311
"K-3002 Moss";"Males";"27 years";286
"K-3002 Moss";"Males";"28 years";256
"K-3002 Moss";"Males";"29 years";299
"K-3002 Moss";"Males";"30 years";286
"K-3002 Moss";"Males";"31 years";290
"K-3002 Moss";"Males";"32 years";325
"K-3002 Moss";"Males";"33 years";277
"K-3002 Moss";"Males";"34 years";284
"K-3002 Moss";"Males";"35 years";300
"K-3002 Moss";"Males";"36 years";274
"K-3002 Moss";"Males";"37 years";292
"K-3002 Moss";"Males";"38 years";299
"K-3002 Moss";"Males";"39 years";318
"K-3002 Moss";"Males";"40 years";305
"K-3002 Moss";"Males";"41 years";295
"K-3002 Moss";"Males";"42 years";310
"K-3002 Moss";"Males";"43 years";337
"K-3002 Moss";"Males";"44 years";354
"K-3002 Moss";"Males";"45 years";383
"K-3002 Moss";"Males";"46 years";357
"K-3002 Moss";"Males";"47 years";373
"K-3002 Moss";"Males";"48 years";383
"K-3002 Moss";"Males";"49 years";361
"K-3002 Moss";"Males";"50 years";399
"K-3002 Moss";"Males";"51 years";386
"K-3002 Moss";"Males";"52 years";353
"K-3002 Moss";"Males";"53 years";381
"K-3002 Moss";"Males";"54 years";386
"K-3002 Moss";"Males";"55 years";355
"K-3002 Moss";"Males";"56 years";365
"K-3002 Moss";"Males";"57 years";315
"K-3002 Moss";"Males";"58 years";338
"K-3002 Moss";"Males";"59 years";333
"K-3002 Moss";"Males";"60 years";350
"K-3002 Moss";"Males";"61 years";300
"K-3002 Moss";"Males";"62 years";279
"K-3002 Moss";"Males";"63 years";270
"K-3002 Moss";"Males";"64 years";286
"K-3002 Moss";"Males";"65 years";260
"K-3002 Moss";"Males";"66 years";242
"K-3002 Moss";"Males";"67 years";265
"K-3002 Moss";"Males";"68 years";256
"K-3002 Moss";"Males";"69 years";298
"K-3002 Moss";"Males";"70 years";244
"K-3002 Moss";"Males";"71 years";257
"K-3002 Moss";"Males";"72 years";274
"K-3002 Moss";"Males";"73 years";277
"K-3002 Moss";"Males";"74 years";261
"K-3002 Moss";"Males";"75 years";240
"K-3002 Moss";"Males";"76 years";176
"K-3002 Moss";"Males";"77 years";163
"K-3002 Moss";"Males";"78 years";123
"K-3002 Moss";"Males";"79 years";144
"K-3002 Moss";"Males";"80 years";106
"K-3002 Moss";"Males";"81 years";114
"K-3002 Moss";"Males";"82 years";133
"K-3002 Moss";"Males";"83 years";120
"K-3002 Moss";"Males";"84 years";86
"K-3002 Moss";"Males";"85 years";69
"K-3002 Moss";"Males";"86 years";49
"K-3002 Moss";"Males";"87 years";62
"K-3002 Moss";"Males";"88 years";56
"K-3002 Moss";"Males";"89 years";37
"K-3002 Moss";"Males";"90 years";26
"K-3002 Moss";"Males";"91 years";29
"K-3002 Moss";"Males";"92 years";25
"K-3002 Moss";"Males";"93 years";16
"K-3002 Moss";"Males";"94 years";12
"K-3002 Moss";"Males";"95 years";5
"K-3002 Moss";"Males";"96 years";6
"K-3002 Moss";"Males";"97 years";3
"K-3002 Moss";"Males";"98 years";1
"K-3002 Moss";"Males";"99 years";0
"K-3002 Moss";"Males";"100 years";1
"K-3002 Moss";"Males";"101 years";1
"K-3002 Moss";"Males";"102 years";0
"K-3002 Moss";"Males";"103 years";0
"K-3002 Moss";"Males";"104 years";0
"K-3002 Moss";"Males";"105 years or older";0
"K-3002 Moss";"Females";"0 years";190
"K-3002 Moss";"Females";"1 year";212
"K-3002 Moss";"Females";"2 years";222
"K-3002 Moss";"Females";"3 years";223
"K-3002 Moss";"Females";"4 years";247
"K-3002 Moss";"Females";"5 years";247
"K-3002 Moss";"Females";"6 years";268
"K-3002 Moss";"Females";"7 years";271
"K-3002 Moss";"Females";"8 years";278
"K-3002 Moss";"Females";"9 years";290
"K-3002 Moss";"Females";"10 years";324
"K-3002 Moss";"Females";"11 years";285
"K-3002 Moss";"Females";"12 years";263
"K-3002 Moss";"Females";"13 years";312
"K-3002 Moss";"Females";"14 years";277
"K-3002 Moss";"Females";"15 years";304
"K-3002 Moss";"Females";"16 years";273
"K-3002 Moss";"Females";"17 years";304
"K-3002 Moss";"Females";"18 years";245
"K-3002 Moss";"Females";"19 years";296
"K-3002 Moss";"Females";"20 years";235
"K-3002 Moss";"Females";"21 years";249
"K-3002 Moss";"Females";"22 years";241
"K-3002 Moss";"Females";"23 years";263
"K-3002 Moss";"Females";"24 years";247
"K-3002 Moss";"Females";"25 years";255
"K-3002 Moss";"Females";"26 years";257
"K-3002 Moss";"Females";"27 years";254
"K-3002 Moss";"Females";"28 years";249
"K-3002 Moss";"Females";"29 years";237
"K-3002 Moss";"Females";"30 years";271
"K-3002 Moss";"Females";"31 years";286
"K-3002 Moss";"Females";"32 years";299
"K-3002 Moss";"Females";"33 years";286
"K-3002 Moss";"Females";"34 years";271
"K-3002 Moss";"Females";"35 years";274
"K-3002 Moss";"Females";"36 years";289
"K-3002 Moss";"Females";"37 years";287
"K-3002 Moss";"Females";"38 years";304
"K-3002 Moss";"Females";"39 years";302
"K-3002 Moss";"Females";"40 years";311
"K-3002 Moss";"Females";"41 years";350
"K-3002 Moss";"Females";"42 years";328
"K-3002 Moss";"Females";"43 years";294
"K-3002 Moss";"Females";"44 years";347
"K-3002 Moss";"Females";"45 years";352
"K-3002 Moss";"Females";"46 years";366
"K-3002 Moss";"Females";"47 years";389
"K-3002 Moss";"Females";"48 years";390
"K-3002 Moss";"Females";"49 years";376
"K-3002 Moss";"Females";"50 years";397
"K-3002 Moss";"Females";"51 years";420
"K-3002 Moss";"Females";"52 years";398
"K-3002 Moss";"Females";"53 years";350
"K-3002 Moss";"Females";"54 years";383
"K-3002 Moss";"Females";"55 years";395
"K-3002 Moss";"Females";"56 years";324
"K-3002 Moss";"Females";"57 years";353
"K-3002 Moss";"Females";"58 years";301
"K-3002 Moss";"Females";"59 years";289
"K-3002 Moss";"Females";"60 years";318
"K-3002 Moss";"Females";"61 years";301
