"region";"age";"industry (SIC2007)";"working hours";"Employees by place of residence 2019";"Employees by place of work 2019"
"K-3006 Kongsberg";"20-66 years";"00-99 All industries";"Full-time";9098;10867
"K-3006 Kongsberg";"20-66 years";"05-09 Mining and quarrying";"Part-time";5;0
"K-3006 Kongsberg";"20-66 years";"05-09 Mining and quarrying";"Full-time";49;0
"K-3006 Kongsberg";"20-66 years";"41-43 Construction";"Part-time";73;75
"K-3006 Kongsberg";"20-66 years";"41-43 Construction";"Full-time";775;675
"K-3007 Ringerike";"15-74 years";"00-99 All industries";"Part-time";4347;4216
"K-3007 Ringerike";"15-74 years";"00-99 All industries";"Full-time";9700;9038
"K-3007 Ringerike";"15-74 years";"05-09 Mining and quarrying";"Part-time";11;6
"K-3007 Ringerike";"15-74 years";"05-09 Mining and quarrying";"Full-time";79;44
"K-3007 Ringerike";"15-74 years";"41-43 Construction";"Part-time";153;146
"K-3007 Ringerike";"15-74 years";"41-43 Construction";"Full-time";1243;1192
"K-3007 Ringerike";"20-66 years";"00-99 All industries";"Part-time";3773;3648
"K-3007 Ringerike";"20-66 years";"00-99 All industries";"Full-time";9328;8684
"K-3007 Ringerike";"20-66 years";"05-09 Mining and quarrying";"Part-time";7;4
"K-3007 Ringerike";"20-66 years";"05-09 Mining and quarrying";"Full-time";77;41
"K-3007 Ringerike";"20-66 years";"41-43 Construction";"Part-time";118;113
"K-3007 Ringerike";"20-66 years";"41-43 Construction";"Full-time";1176;1122
"K-3011 Hvaler";"15-74 years";"00-99 All industries";"Part-time";557;393
"K-3011 Hvaler";"15-74 years";"00-99 All industries";"Full-time";1327;633
"K-3011 Hvaler";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3011 Hvaler";"15-74 years";"05-09 Mining and quarrying";"Full-time";12;0
"K-3011 Hvaler";"15-74 years";"41-43 Construction";"Part-time";23;20
"K-3011 Hvaler";"15-74 years";"41-43 Construction";"Full-time";178;118
"K-3011 Hvaler";"20-66 years";"00-99 All industries";"Part-time";468;321
"K-3011 Hvaler";"20-66 years";"00-99 All industries";"Full-time";1275;603
"K-3011 Hvaler";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3011 Hvaler";"20-66 years";"05-09 Mining and quarrying";"Full-time";11;0
"K-3011 Hvaler";"20-66 years";"41-43 Construction";"Part-time";20;17
"K-3011 Hvaler";"20-66 years";"41-43 Construction";"Full-time";163;109
"K-3012 Aremark";"15-74 years";"00-99 All industries";"Part-time";196;142
"K-3012 Aremark";"15-74 years";"00-99 All industries";"Full-time";370;95
"K-3012 Aremark";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-3012 Aremark";"15-74 years";"05-09 Mining and quarrying";"Full-time";5;0
"K-3012 Aremark";"15-74 years";"41-43 Construction";"Part-time";10;4
"K-3012 Aremark";"15-74 years";"41-43 Construction";"Full-time";47;0
"K-3012 Aremark";"20-66 years";"00-99 All industries";"Part-time";166;120
"K-3012 Aremark";"20-66 years";"00-99 All industries";"Full-time";354;90
