"region";"age";"industry (SIC2007)";"working hours";"Employees by place of residence 2019";"Employees by place of work 2019"
"K-3446 Gran";"20-66 years";"41-43 Construction";"Part-time";51;39
"K-3446 Gran";"20-66 years";"41-43 Construction";"Full-time";573;438
"K-3447 S?ndre Land";"15-74 years";"00-99 All industries";"Part-time";910;722
"K-3447 S?ndre Land";"15-74 years";"00-99 All industries";"Full-time";1506;699
"K-3447 S?ndre Land";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-3447 S?ndre Land";"15-74 years";"05-09 Mining and quarrying";"Full-time";8;3
"K-3447 S?ndre Land";"15-74 years";"41-43 Construction";"Part-time";20;10
"K-3447 S?ndre Land";"15-74 years";"41-43 Construction";"Full-time";201;43
"K-3447 S?ndre Land";"20-66 years";"00-99 All industries";"Part-time";797;645
"K-3447 S?ndre Land";"20-66 years";"00-99 All industries";"Full-time";1441;662
"K-3447 S?ndre Land";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3447 S?ndre Land";"20-66 years";"05-09 Mining and quarrying";"Full-time";8;3
"K-3447 S?ndre Land";"20-66 years";"41-43 Construction";"Part-time";19;10
"K-3447 S?ndre Land";"20-66 years";"41-43 Construction";"Full-time";185;41
"K-3448 Nordre Land";"15-74 years";"00-99 All industries";"Part-time";1166;1082
"K-3448 Nordre Land";"15-74 years";"00-99 All industries";"Full-time";1743;1597
"K-3448 Nordre Land";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3448 Nordre Land";"15-74 years";"05-09 Mining and quarrying";"Full-time";6;0
"K-3448 Nordre Land";"15-74 years";"41-43 Construction";"Part-time";37;39
"K-3448 Nordre Land";"15-74 years";"41-43 Construction";"Full-time";319;251
"K-3448 Nordre Land";"20-66 years";"00-99 All industries";"Part-time";1007;926
"K-3448 Nordre Land";"20-66 years";"00-99 All industries";"Full-time";1679;1533
"K-3448 Nordre Land";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3448 Nordre Land";"20-66 years";"05-09 Mining and quarrying";"Full-time";5;0
"K-3448 Nordre Land";"20-66 years";"41-43 Construction";"Part-time";30;31
"K-3448 Nordre Land";"20-66 years";"41-43 Construction";"Full-time";296;228
"K-3449 S?r-Aurdal";"15-74 years";"00-99 All industries";"Part-time";553;519
"K-3449 S?r-Aurdal";"15-74 years";"00-99 All industries";"Full-time";714;589
"K-3449 S?r-Aurdal";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3449 S?r-Aurdal";"15-74 years";"05-09 Mining and quarrying";"Full-time";14;0
"K-3449 S?r-Aurdal";"15-74 years";"41-43 Construction";"Part-time";30;29
"K-3449 S?r-Aurdal";"15-74 years";"41-43 Construction";"Full-time";161;161
"K-3449 S?r-Aurdal";"20-66 years";"00-99 All industries";"Part-time";458;435
"K-3449 S?r-Aurdal";"20-66 years";"00-99 All industries";"Full-time";673;558
"K-3449 S?r-Aurdal";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3449 S?r-Aurdal";"20-66 years";"05-09 Mining and quarrying";"Full-time";14;0
"K-3449 S?r-Aurdal";"20-66 years";"41-43 Construction";"Part-time";22;20
"K-3449 S?r-Aurdal";"20-66 years";"41-43 Construction";"Full-time";148;150
"K-3450 Etnedal";"15-74 years";"00-99 All industries";"Part-time";223;184
"K-3450 Etnedal";"15-74 years";"00-99 All industries";"Full-time";295;174
"K-3450 Etnedal";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3450 Etnedal";"15-74 years";"05-09 Mining and quarrying";"Full-time";0;0
"K-3450 Etnedal";"15-74 years";"41-43 Construction";"Part-time";3;3
"K-3450 Etnedal";"15-74 years";"41-43 Construction";"Full-time";54;19
"K-3450 Etnedal";"20-66 years";"00-99 All industries";"Part-time";191;153
"K-3450 Etnedal";"20-66 years";"00-99 All industries";"Full-time";277;169
"K-3450 Etnedal";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3450 Etnedal";"20-66 years";"05-09 Mining and quarrying";"Full-time";0;0
"K-3450 Etnedal";"20-66 years";"41-43 Construction";"Part-time";3;0
"K-3450 Etnedal";"20-66 years";"41-43 Construction";"Full-time";50;19
"K-3451 Nord-Aurdal";"15-74 years";"00-99 All industries";"Part-time";1199;1387
"K-3451 Nord-Aurdal";"15-74 years";"00-99 All industries";"Full-time";1854;2335
"K-3451 Nord-Aurdal";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-3451 Nord-Aurdal";"15-74 years";"05-09 Mining and quarrying";"Full-time";18;16
"K-3451 Nord-Aurdal";"15-74 years";"41-43 Construction";"Part-time";40;56
"K-3451 Nord-Aurdal";"15-74 years";"41-43 Construction";"Full-time";281;359
"K-3451 Nord-Aurdal";"20-66 years";"00-99 All industries";"Part-time";987;1129
"K-3451 Nord-Aurdal";"20-66 years";"00-99 All industries";"Full-time";1772;2221
"K-3451 Nord-Aurdal";"20-66 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-3451 Nord-Aurdal";"20-66 years";"05-09 Mining and quarrying";"Full-time";18;16
"K-3451 Nord-Aurdal";"20-66 years";"41-43 Construction";"Part-time";32;44
"K-3451 Nord-Aurdal";"20-66 years";"41-43 Construction";"Full-time";259;331
"K-3452 Vestre Slidre";"15-74 years";"00-99 All industries";"Part-time";404;300
"K-3452 Vestre Slidre";"15-74 years";"00-99 All industries";"Full-time";553;359
"K-3452 Vestre Slidre";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3452 Vestre Slidre";"15-74 years";"05-09 Mining and quarrying";"Full-time";3;0
"K-3452 Vestre Slidre";"15-74 years";"41-43 Construction";"Part-time";26;18
"K-3452 Vestre Slidre";"15-74 years";"41-43 Construction";"Full-time";132;69
"K-3452 Vestre Slidre";"20-66 years";"00-99 All industries";"Part-time";349;257
"K-3452 Vestre Slidre";"20-66 years";"00-99 All industries";"Full-time";522;350
"K-3452 Vestre Slidre";"20-66 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-3452 Vestre Slidre";"20-66 years";"05-09 Mining and quarrying";"Full-time";0;3
"K-3452 Vestre Slidre";"20-66 years";"41-43 Construction";"Part-time";17;11
"K-3452 Vestre Slidre";"20-66 years";"41-43 Construction";"Full-time";124;65
"K-3453 ?ystre Slidre";"15-74 years";"00-99 All industries";"Part-time";642;540
"K-3453 ?ystre Slidre";"15-74 years";"00-99 All industries";"Full-time";940;690
"K-3453 ?ystre Slidre";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;3
"K-3453 ?ystre Slidre";"15-74 years";"05-09 Mining and quarrying";"Full-time";20;18
"K-3453 ?ystre Slidre";"15-74 years";"41-43 Construction";"Part-time";31;27
"K-3453 ?ystre Slidre";"15-74 years";"41-43 Construction";"Full-time";159;126
"K-3453 ?ystre Slidre";"20-66 years";"00-99 All industries";"Part-time";524;452
"K-3453 ?ystre Slidre";"20-66 years";"00-99 All industries";"Full-time";890;654
"K-3453 ?ystre Slidre";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3453 ?ystre Slidre";"20-66 years";"05-09 Mining and quarrying";"Full-time";19;17
"K-3453 ?ystre Slidre";"20-66 years";"41-43 Construction";"Part-time";23;22
"K-3453 ?ystre Slidre";"20-66 years";"41-43 Construction";"Full-time";150;118
"K-3454 Vang";"15-74 years";"00-99 All industries";"Part-time";345;312
"K-3454 Vang";"15-74 years";"00-99 All industries";"Full-time";379;317
"K-3454 Vang";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3454 Vang";"15-74 years";"05-09 Mining and quarrying";"Full-time";0;0
"K-3454 Vang";"15-74 years";"41-43 Construction";"Part-time";15;15
"K-3454 Vang";"15-74 years";"41-43 Construction";"Full-time";89;86
"K-3454 Vang";"20-66 years";"00-99 All industries";"Part-time";302;270
"K-3454 Vang";"20-66 years";"00-99 All industries";"Full-time";355;299
"K-3454 Vang";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3454 Vang";"20-66 years";"05-09 Mining and quarrying";"Full-time";0;0
"K-3454 Vang";"20-66 years";"41-43 Construction";"Part-time";13;13
"K-3454 Vang";"20-66 years";"41-43 Construction";"Full-time";83;82
"K-3801 Horten";"15-74 years";"00-99 All industries";"Part-time";3693;3111
"K-3801 Horten";"15-74 years";"00-99 All industries";"Full-time";8303;7398
"K-3801 Horten";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3801 Horten";"15-74 years";"05-09 Mining and quarrying";"Full-time";80;0
"K-3801 Horten";"15-74 years";"41-43 Construction";"Part-time";84;67
"K-3801 Horten";"15-74 years";"41-43 Construction";"Full-time";784;549
"K-3801 Horten";"20-66 years";"00-99 All industries";"Part-time";3171;2638
"K-3801 Horten";"20-66 years";"00-99 All industries";"Full-time";8011;7136
"K-3801 Horten";"20-66 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-3801 Horten";"20-66 years";"05-09 Mining and quarrying";"Full-time";75;0
"K-3801 Horten";"20-66 years";"41-43 Construction";"Part-time";69;52
"K-3801 Horten";"20-66 years";"41-43 Construction";"Full-time";740;522
"K-3802 Holmestrand";"15-74 years";"00-99 All industries";"Part-time";3382;2541
"K-3802 Holmestrand";"15-74 years";"00-99 All industries";"Full-time";7999;4258
"K-3802 Holmestrand";"15-74 years";"05-09 Mining and quarrying";"Part-time";6;6
"K-3802 Holmestrand";"15-74 years";"05-09 Mining and quarrying";"Full-time";54;9
"K-3802 Holmestrand";"15-74 years";"41-43 Construction";"Part-time";171;118
"K-3802 Holmestrand";"15-74 years";"41-43 Construction";"Full-time";1223;640
"K-3802 Holmestrand";"20-66 years";"00-99 All industries";"Part-time";2850;2111
"K-3802 Holmestrand";"20-66 years";"00-99 All industries";"Full-time";7730;4061
"K-3802 Holmestrand";"20-66 years";"05-09 Mining and quarrying";"Part-time";6;0
"K-3802 Holmestrand";"20-66 years";"05-09 Mining and quarrying";"Full-time";53;9
"K-3802 Holmestrand";"20-66 years";"41-43 Construction";"Part-time";126;71
"K-3802 Holmestrand";"20-66 years";"41-43 Construction";"Full-time";1145;592
"K-3803 T?nsberg";"15-74 years";"00-99 All industries";"Part-time";8191;9691
"K-3803 T?nsberg";"15-74 years";"00-99 All industries";"Full-time";18945;21420
"K-3803 T?nsberg";"15-74 years";"05-09 Mining and quarrying";"Part-time";19;7
"K-3803 T?nsberg";"15-74 years";"05-09 Mining and quarrying";"Full-time";217;25
"K-3803 T?nsberg";"15-74 years";"41-43 Construction";"Part-time";193;198
"K-3803 T?nsberg";"15-74 years";"41-43 Construction";"Full-time";2078;2311
"K-3803 T?nsberg";"20-66 years";"00-99 All industries";"Part-time";6997;8312
"K-3803 T?nsberg";"20-66 years";"00-99 All industries";"Full-time";18284;20678
"K-3803 T?nsberg";"20-66 years";"05-09 Mining and quarrying";"Part-time";17;4
"K-3803 T?nsberg";"20-66 years";"05-09 Mining and quarrying";"Full-time";212;23
"K-3803 T?nsberg";"20-66 years";"41-43 Construction";"Part-time";149;159
"K-3803 T?nsberg";"20-66 years";"41-43 Construction";"Full-time";1946;2143
"K-3804 Sandefjord";"15-74 years";"00-99 All industries";"Part-time";8763;8184
"K-3804 Sandefjord";"15-74 years";"00-99 All industries";"Full-time";19950;20092
"K-3804 Sandefjord";"15-74 years";"05-09 Mining and quarrying";"Part-time";20;17
"K-3804 Sandefjord";"15-74 years";"05-09 Mining and quarrying";"Full-time";359;254
"K-3804 Sandefjord";"15-74 years";"41-43 Construction";"Part-time";264;271
"K-3804 Sandefjord";"15-74 years";"41-43 Construction";"Full-time";2512;2972
"K-3804 Sandefjord";"20-66 years";"00-99 All industries";"Part-time";7512;7027
"K-3804 Sandefjord";"20-66 years";"00-99 All industries";"Full-time";19136;19231
"K-3804 Sandefjord";"20-66 years";"05-09 Mining and quarrying";"Part-time";18;16
"K-3804 Sandefjord";"20-66 years";"05-09 Mining and quarrying";"Full-time";355;249
"K-3804 Sandefjord";"20-66 years";"41-43 Construction";"Part-time";195;200
"K-3804 Sandefjord";"20-66 years";"41-43 Construction";"Full-time";2365;2776
"K-3805 Larvik";"15-74 years";"00-99 All industries";"Part-time";6573;5780
"K-3805 Larvik";"15-74 years";"00-99 All industries";"Full-time";14186;11919
"K-3805 Larvik";"15-74 years";"05-09 Mining and quarrying";"Part-time";19;15
"K-3805 Larvik";"15-74 years";"05-09 Mining and quarrying";"Full-time";271;164
"K-3805 Larvik";"15-74 years";"41-43 Construction";"Part-time";220;234
"K-3805 Larvik";"15-74 years";"41-43 Construction";"Full-time";1763;1884
"K-3805 Larvik";"20-66 years";"00-99 All industries";"Part-time";5633;4928
"K-3805 Larvik";"20-66 years";"00-99 All industries";"Full-time";13533;11335
"K-3805 Larvik";"20-66 years";"05-09 Mining and quarrying";"Part-time";16;13
"K-3805 Larvik";"20-66 years";"05-09 Mining and quarrying";"Full-time";266;161
"K-3805 Larvik";"20-66 years";"41-43 Construction";"Part-time";162;178
"K-3805 Larvik";"20-66 years";"41-43 Construction";"Full-time";1655;1780
"K-3806 Porsgrunn";"15-74 years";"00-99 All industries";"Part-time";4851;4616
"K-3806 Porsgrunn";"15-74 years";"00-99 All industries";"Full-time";11738;11994
"K-3806 Porsgrunn";"15-74 years";"05-09 Mining and quarrying";"Part-time";13;5
"K-3806 Porsgrunn";"15-74 years";"05-09 Mining and quarrying";"Full-time";427;51
"K-3806 Porsgrunn";"15-74 years";"41-43 Construction";"Part-time";108;141
"K-3806 Porsgrunn";"15-74 years";"41-43 Construction";"Full-time";1208;1320
"K-3806 Porsgrunn";"20-66 years";"00-99 All industries";"Part-time";4246;4011
"K-3806 Porsgrunn";"20-66 years";"00-99 All industries";"Full-time";11303;11477
"K-3806 Porsgrunn";"20-66 years";"05-09 Mining and quarrying";"Part-time";13;5
"K-3806 Porsgrunn";"20-66 years";"05-09 Mining and quarrying";"Full-time";423;49
"K-3806 Porsgrunn";"20-66 years";"41-43 Construction";"Part-time";78;126
"K-3806 Porsgrunn";"20-66 years";"41-43 Construction";"Full-time";1149;1251
"K-3807 Skien";"15-74 years";"00-99 All industries";"Part-time";7516;7826
"K-3807 Skien";"15-74 years";"00-99 All industries";"Full-time";17005;17138
"K-3807 Skien";"15-74 years";"05-09 Mining and quarrying";"Part-time";20;0
"K-3807 Skien";"15-74 years";"05-09 Mining and quarrying";"Full-time";375;22
"K-3807 Skien";"15-74 years";"41-43 Construction";"Part-time";198;219
"K-3807 Skien";"15-74 years";"41-43 Construction";"Full-time";1848;1912
"K-3807 Skien";"20-66 years";"00-99 All industries";"Part-time";6570;6878
"K-3807 Skien";"20-66 years";"00-99 All industries";"Full-time";16437;16510
"K-3807 Skien";"20-66 years";"05-09 Mining and quarrying";"Part-time";17;0
"K-3807 Skien";"20-66 years";"05-09 Mining and quarrying";"Full-time";375;21
"K-3807 Skien";"20-66 years";"41-43 Construction";"Part-time";173;185
"K-3807 Skien";"20-66 years";"41-43 Construction";"Full-time";1751;1804
"K-3808 Notodden";"15-74 years";"00-99 All industries";"Part-time";1899;1894
"K-3808 Notodden";"15-74 years";"00-99 All industries";"Full-time";3616;3039
"K-3808 Notodden";"15-74 years";"05-09 Mining and quarrying";"Part-time";8;4
"K-3808 Notodden";"15-74 years";"05-09 Mining and quarrying";"Full-time";69;12
"K-3808 Notodden";"15-74 years";"41-43 Construction";"Part-time";46;36
"K-3808 Notodden";"15-74 years";"41-43 Construction";"Full-time";476;295
"K-3808 Notodden";"20-66 years";"00-99 All industries";"Part-time";1647;1634
"K-3808 Notodden";"20-66 years";"00-99 All industries";"Full-time";3478;2905
"K-3808 Notodden";"20-66 years";"05-09 Mining and quarrying";"Part-time";6;0
"K-3808 Notodden";"20-66 years";"05-09 Mining and quarrying";"Full-time";69;11
"K-3808 Notodden";"20-66 years";"41-43 Construction";"Part-time";39;28
"K-3808 Notodden";"20-66 years";"41-43 Construction";"Full-time";451;274
"K-3811 F?rder";"15-74 years";"00-99 All industries";"Part-time";3537;2360
"K-3811 F?rder";"15-74 years";"00-99 All industries";"Full-time";8145;4454
"K-3811 F?rder";"15-74 years";"05-09 Mining and quarrying";"Part-time";9;0
"K-3811 F?rder";"15-74 years";"05-09 Mining and quarrying";"Full-time";95;0
"K-3811 F?rder";"15-74 years";"41-43 Construction";"Part-time";84;84
"K-3811 F?rder";"15-74 years";"41-43 Construction";"Full-time";836;721
"K-3811 F?rder";"20-66 years";"00-99 All industries";"Part-time";3018;2055
"K-3811 F?rder";"20-66 years";"00-99 All industries";"Full-time";7808;4255
"K-3811 F?rder";"20-66 years";"05-09 Mining and quarrying";"Part-time";5;0
"K-3811 F?rder";"20-66 years";"05-09 Mining and quarrying";"Full-time";94;0
"K-3811 F?rder";"20-66 years";"41-43 Construction";"Part-time";69;65
"K-3811 F?rder";"20-66 years";"41-43 Construction";"Full-time";788;679
"K-3812 Siljan";"15-74 years";"00-99 All industries";"Part-time";374;217
"K-3812 Siljan";"15-74 years";"00-99 All industries";"Full-time";740;255
"K-3812 Siljan";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3812 Siljan";"15-74 years";"05-09 Mining and quarrying";"Full-time";16;0
"K-3812 Siljan";"15-74 years";"41-43 Construction";"Part-time";9;3
"K-3812 Siljan";"15-74 years";"41-43 Construction";"Full-time";95;5
"K-3812 Siljan";"20-66 years";"00-99 All industries";"Part-time";313;166
"K-3812 Siljan";"20-66 years";"00-99 All industries";"Full-time";708;246
"K-3812 Siljan";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3812 Siljan";"20-66 years";"05-09 Mining and quarrying";"Full-time";16;0
"K-3812 Siljan";"20-66 years";"41-43 Construction";"Part-time";9;0
"K-3812 Siljan";"20-66 years";"41-43 Construction";"Full-time";85;3
"K-3813 Bamble";"15-74 years";"00-99 All industries";"Part-time";1964;1725
"K-3813 Bamble";"15-74 years";"00-99 All industries";"Full-time";4252;2870
"K-3813 Bamble";"15-74 years";"05-09 Mining and quarrying";"Part-time";11;3
"K-3813 Bamble";"15-74 years";"05-09 Mining and quarrying";"Full-time";242;0
"K-3813 Bamble";"15-74 years";"41-43 Construction";"Part-time";68;56
"K-3813 Bamble";"15-74 years";"41-43 Construction";"Full-time";529;438
"K-3813 Bamble";"20-66 years";"00-99 All industries";"Part-time";1693;1470
"K-3813 Bamble";"20-66 years";"00-99 All industries";"Full-time";4041;2737
"K-3813 Bamble";"20-66 years";"05-09 Mining and quarrying";"Part-time";11;0
"K-3813 Bamble";"20-66 years";"05-09 Mining and quarrying";"Full-time";241;0
"K-3813 Bamble";"20-66 years";"41-43 Construction";"Part-time";52;36
"K-3813 Bamble";"20-66 years";"41-43 Construction";"Full-time";497;417
"K-3814 Krager?";"15-74 years";"00-99 All industries";"Part-time";1475;1380
"K-3814 Krager?";"15-74 years";"00-99 All industries";"Full-time";2860;2432
"K-3814 Krager?";"15-74 years";"05-09 Mining and quarrying";"Part-time";9;8
"K-3814 Krager?";"15-74 years";"05-09 Mining and quarrying";"Full-time";89;23
"K-3814 Krager?";"15-74 years";"41-43 Construction";"Part-time";68;66
"K-3814 Krager?";"15-74 years";"41-43 Construction";"Full-time";517;418
"K-3814 Krager?";"20-66 years";"00-99 All industries";"Part-time";1283;1187
"K-3814 Krager?";"20-66 years";"00-99 All industries";"Full-time";2733;2301
"K-3814 Krager?";"20-66 years";"05-09 Mining and quarrying";"Part-time";5;4
"K-3814 Krager?";"20-66 years";"05-09 Mining and quarrying";"Full-time";88;22
"K-3814 Krager?";"20-66 years";"41-43 Construction";"Part-time";51;48
"K-3814 Krager?";"20-66 years";"41-43 Construction";"Full-time";492;394
"K-3815 Drangedal";"15-74 years";"00-99 All industries";"Part-time";650;519
"K-3815 Drangedal";"15-74 years";"00-99 All industries";"Full-time";1072;557
"K-3815 Drangedal";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3815 Drangedal";"15-74 years";"05-09 Mining and quarrying";"Full-time";33;0
"K-3815 Drangedal";"15-74 years";"41-43 Construction";"Part-time";36;18
"K-3815 Drangedal";"15-74 years";"41-43 Construction";"Full-time";279;116
"K-3815 Drangedal";"20-66 years";"00-99 All industries";"Part-time";570;464
"K-3815 Drangedal";"20-66 years";"00-99 All industries";"Full-time";1025;528
"K-3815 Drangedal";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3815 Drangedal";"20-66 years";"05-09 Mining and quarrying";"Full-time";32;0
"K-3815 Drangedal";"20-66 years";"41-43 Construction";"Part-time";28;13
"K-3815 Drangedal";"20-66 years";"41-43 Construction";"Full-time";257;99
"K-3816 Nome";"15-74 years";"00-99 All industries";"Part-time";1040;778
"K-3816 Nome";"15-74 years";"00-99 All industries";"Full-time";1826;1209
"K-3816 Nome";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3816 Nome";"15-74 years";"05-09 Mining and quarrying";"Full-time";36;0
"K-3816 Nome";"15-74 years";"41-43 Construction";"Part-time";33;23
"K-3816 Nome";"15-74 years";"41-43 Construction";"Full-time";274;99
"K-3816 Nome";"20-66 years";"00-99 All industries";"Part-time";907;661
"K-3816 Nome";"20-66 years";"00-99 All industries";"Full-time";1750;1163
"K-3816 Nome";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3816 Nome";"20-66 years";"05-09 Mining and quarrying";"Full-time";35;0
"K-3816 Nome";"20-66 years";"41-43 Construction";"Part-time";29;18
"K-3816 Nome";"20-66 years";"41-43 Construction";"Full-time";251;91
"K-3817 Midt-Telemark";"15-74 years";"00-99 All industries";"Part-time";1686;1530
"K-3817 Midt-Telemark";"15-74 years";"00-99 All industries";"Full-time";3004;2456
"K-3817 Midt-Telemark";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;3
"K-3817 Midt-Telemark";"15-74 years";"05-09 Mining and quarrying";"Full-time";58;0
"K-3817 Midt-Telemark";"15-74 years";"41-43 Construction";"Part-time";61;40
"K-3817 Midt-Telemark";"15-74 years";"41-43 Construction";"Full-time";403;311
"K-3817 Midt-Telemark";"20-66 years";"00-99 All industries";"Part-time";1501;1368
"K-3817 Midt-Telemark";"20-66 years";"00-99 All industries";"Full-time";2885;2331
"K-3817 Midt-Telemark";"20-66 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-3817 Midt-Telemark";"20-66 years";"05-09 Mining and quarrying";"Full-time";58;3
"K-3817 Midt-Telemark";"20-66 years";"41-43 Construction";"Part-time";54;35
"K-3817 Midt-Telemark";"20-66 years";"41-43 Construction";"Full-time";389;288
"K-3818 Tinn";"15-74 years";"00-99 All industries";"Part-time";857;791
"K-3818 Tinn";"15-74 years";"00-99 All industries";"Full-time";1775;1650
"K-3818 Tinn";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-3818 Tinn";"15-74 years";"05-09 Mining and quarrying";"Full-time";54;0
"K-3818 Tinn";"15-74 years";"41-43 Construction";"Part-time";35;31
"K-3818 Tinn";"15-74 years";"41-43 Construction";"Full-time";274;234
"K-3818 Tinn";"20-66 years";"00-99 All industries";"Part-time";704;646
"K-3818 Tinn";"20-66 years";"00-99 All industries";"Full-time";1678;1565
"K-3818 Tinn";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3818 Tinn";"20-66 years";"05-09 Mining and quarrying";"Full-time";53;0
"K-3818 Tinn";"20-66 years";"41-43 Construction";"Part-time";27;22
"K-3818 Tinn";"20-66 years";"41-43 Construction";"Full-time";250;215
"K-3819 Hjartdal";"15-74 years";"00-99 All industries";"Part-time";251;284
"K-3819 Hjartdal";"15-74 years";"00-99 All industries";"Full-time";400;326
"K-3819 Hjartdal";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3819 Hjartdal";"15-74 years";"05-09 Mining and quarrying";"Full-time";7;0
"K-3819 Hjartdal";"15-74 years";"41-43 Construction";"Part-time";14;15
"K-3819 Hjartdal";"15-74 years";"41-43 Construction";"Full-time";113;76
"K-3819 Hjartdal";"20-66 years";"00-99 All industries";"Part-time";218;222
"K-3819 Hjartdal";"20-66 years";"00-99 All industries";"Full-time";382;308
"K-3819 Hjartdal";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3819 Hjartdal";"20-66 years";"05-09 Mining and quarrying";"Full-time";7;0
"K-3819 Hjartdal";"20-66 years";"41-43 Construction";"Part-time";11;13
"K-3819 Hjartdal";"20-66 years";"41-43 Construction";"Full-time";104;72
"K-3820 Seljord";"15-74 years";"00-99 All industries";"Part-time";507;533
"K-3820 Seljord";"15-74 years";"00-99 All industries";"Full-time";777;755
"K-3820 Seljord";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3820 Seljord";"15-74 years";"05-09 Mining and quarrying";"Full-time";9;3
"K-3820 Seljord";"15-74 years";"41-43 Construction";"Part-time";29;16
"K-3820 Seljord";"15-74 years";"41-43 Construction";"Full-time";149;101
"K-3820 Seljord";"20-66 years";"00-99 All industries";"Part-time";416;438
"K-3820 Seljord";"20-66 years";"00-99 All industries";"Full-time";731;708
"K-3820 Seljord";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3820 Seljord";"20-66 years";"05-09 Mining and quarrying";"Full-time";9;3
"K-3820 Seljord";"20-66 years";"41-43 Construction";"Part-time";21;11
"K-3820 Seljord";"20-66 years";"41-43 Construction";"Full-time";141;93
"K-3821 Kviteseid";"15-74 years";"00-99 All industries";"Part-time";407;401
"K-3821 Kviteseid";"15-74 years";"00-99 All industries";"Full-time";701;590
"K-3821 Kviteseid";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-3821 Kviteseid";"15-74 years";"05-09 Mining and quarrying";"Full-time";13;3
"K-3821 Kviteseid";"15-74 years";"41-43 Construction";"Part-time";23;16
"K-3821 Kviteseid";"15-74 years";"41-43 Construction";"Full-time";200;154
"K-3821 Kviteseid";"20-66 years";"00-99 All industries";"Part-time";358;348
"K-3821 Kviteseid";"20-66 years";"00-99 All industries";"Full-time";662;560
"K-3821 Kviteseid";"20-66 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-3821 Kviteseid";"20-66 years";"05-09 Mining and quarrying";"Full-time";10;0
"K-3821 Kviteseid";"20-66 years";"41-43 Construction";"Part-time";18;13
"K-3821 Kviteseid";"20-66 years";"41-43 Construction";"Full-time";187;149
"K-3822 Nissedal";"15-74 years";"00-99 All industries";"Part-time";249;226
"K-3822 Nissedal";"15-74 years";"00-99 All industries";"Full-time";366;319
"K-3822 Nissedal";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3822 Nissedal";"15-74 years";"05-09 Mining and quarrying";"Full-time";10;0
"K-3822 Nissedal";"15-74 years";"41-43 Construction";"Part-time";9;8
"K-3822 Nissedal";"15-74 years";"41-43 Construction";"Full-time";81;79
"K-3822 Nissedal";"20-66 years";"00-99 All industries";"Part-time";227;203
"K-3822 Nissedal";"20-66 years";"00-99 All industries";"Full-time";352;305
"K-3822 Nissedal";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3822 Nissedal";"20-66 years";"05-09 Mining and quarrying";"Full-time";10;0
"K-3822 Nissedal";"20-66 years";"41-43 Construction";"Part-time";9;7
"K-3822 Nissedal";"20-66 years";"41-43 Construction";"Full-time";79;74
"K-3823 Fyresdal";"15-74 years";"00-99 All industries";"Part-time";268;244
"K-3823 Fyresdal";"15-74 years";"00-99 All industries";"Full-time";310;217
"K-3823 Fyresdal";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-3823 Fyresdal";"15-74 years";"05-09 Mining and quarrying";"Full-time";13;0
"K-3823 Fyresdal";"15-74 years";"41-43 Construction";"Part-time";17;19
"K-3823 Fyresdal";"15-74 years";"41-43 Construction";"Full-time";61;33
