"region";"country background";"Unemployed persons in per cent of persons in total 2020K4"
"3425 Engerdal";"Total";:
"3425 Engerdal";"Immigrants";:
"3426 Tolga";"Total";1.2
"3426 Tolga";"Immigrants";1.9
"3427 Tynset";"Total";1.6
"3427 Tynset";"Immigrants";5.6
"3428 Alvdal";"Total";0.9
"3428 Alvdal";"Immigrants";3.3
"3429 Folldal";"Total";:
"3429 Folldal";"Immigrants";:
"3430 Os";"Total";0.8
"3430 Os";"Immigrants";2.2
"3431 Dovre";"Total";2.2
"3431 Dovre";"Immigrants";4.6
"3432 Lesja";"Total";0.7
"3432 Lesja";"Immigrants";5.5
"3433 Skj?k";"Total";1.7
"3433 Skj?k";"Immigrants";6.8
"3434 Lom";"Total";1.5
"3434 Lom";"Immigrants";:
"3435 V?g?";"Total";2.1
"3435 V?g?";"Immigrants";7.7
"3436 Nord-Fron";"Total";2.1
"3436 Nord-Fron";"Immigrants";6.5
"3437 Sel";"Total";2.1
"3437 Sel";"Immigrants";7.5
"3438 S?r-Fron";"Total";2.7
"3438 S?r-Fron";"Immigrants";8.1
"3439 Ringebu";"Total";2.3
"3439 Ringebu";"Immigrants";9.7
"3440 ?yer";"Total";2.3
"3440 ?yer";"Immigrants";7.2
"3441 Gausdal";"Total";1.3
"3441 Gausdal";"Immigrants";5.8
"3442 ?stre Toten";"Total";1.8
"3442 ?stre Toten";"Immigrants";4.5
"3443 Vestre Toten";"Total";2.2
"3443 Vestre Toten";"Immigrants";5.7
"3446 Gran";"Total";2.5
"3446 Gran";"Immigrants";9.7
"3447 S?ndre Land";"Total";2.3
"3447 S?ndre Land";"Immigrants";7.4
"3448 Nordre Land";"Total";2.0
"3448 Nordre Land";"Immigrants";6.7
"3449 S?r-Aurdal";"Total";1.2
"3449 S?r-Aurdal";"Immigrants";6.5
"3450 Etnedal";"Total";1.4
"3450 Etnedal";"Immigrants";:
"3451 Nord-Aurdal";"Total";1.8
"3451 Nord-Aurdal";"Immigrants";6.0
"3452 Vestre Slidre";"Total";1.6
"3452 Vestre Slidre";"Immigrants";6.1
"3453 ?ystre Slidre";"Total";2.3
"3453 ?ystre Slidre";"Immigrants";8.1
"3454 Vang";"Total";1.6
"3454 Vang";"Immigrants";5.0
"3801 Horten";"Total";3.4
"3801 Horten";"Immigrants";7.0
"3802 Holmestrand";"Total";2.3
"3802 Holmestrand";"Immigrants";5.0
"3803 T?nsberg";"Total";2.8
"3803 T?nsberg";"Immigrants";6.9
"3804 Sandefjord";"Total";2.6
"3804 Sandefjord";"Immigrants";5.8
"3805 Larvik";"Total";2.0
"3805 Larvik";"Immigrants";5.3
"3806 Porsgrunn";"Total";2.7
"3806 Porsgrunn";"Immigrants";6.4
"3807 Skien";"Total";2.7
"3807 Skien";"Immigrants";6.1
"3808 Notodden";"Total";2.0
"3808 Notodden";"Immigrants";6.0
"3811 F?rder";"Total";2.5
"3811 F?rder";"Immigrants";6.6
"3812 Siljan";"Total";1.7
"3812 Siljan";"Immigrants";3.4
"3813 Bamble";"Total";2.2
"3813 Bamble";"Immigrants";5.8
"3814 Krager?";"Total";2.2
"3814 Krager?";"Immigrants";4.1
"3815 Drangedal";"Total";1.7
"3815 Drangedal";"Immigrants";4.2
"3816 Nome";"Total";1.6
"3816 Nome";"Immigrants";3.5
"3817 Midt-Telemark";"Total";1.8
"3817 Midt-Telemark";"Immigrants";4.9
"3818 Tinn";"Total";1.9
"3818 Tinn";"Immigrants";5.0
"3819 Hjartdal";"Total";1.2
"3819 Hjartdal";"Immigrants";:
"3820 Seljord";"Total";1.4
"3820 Seljord";"Immigrants";2.3
"3821 Kviteseid";"Total";2.7
"3821 Kviteseid";"Immigrants";9.5
"3822 Nissedal";"Total";1.1
"3822 Nissedal";"Immigrants";4.1
"3823 Fyresdal";"Total";:
"3823 Fyresdal";"Immigrants";:
"3824 Tokke";"Total";1.3
"3824 Tokke";"Immigrants";:
"3825 Vinje";"Total";1.2
"3825 Vinje";"Immigrants";4.9
"4201 Ris?r";"Total";2.3
"4201 Ris?r";"Immigrants";4.4
"4202 Grimstad";"Total";2.4
"4202 Grimstad";"Immigrants";4.4
"4203 Arendal";"Total";2.1
"4203 Arendal";"Immigrants";5.1
"4204 Kristiansand";"Total";2.5
"4204 Kristiansand";"Immigrants";5.5
"4205 Lindesnes";"Total";2.1
"4205 Lindesnes";"Immigrants";4.5
"4206 Farsund";"Total";1.9
"4206 Farsund";"Immigrants";5.1
"4207 Flekkefjord";"Total";1.7
"4207 Flekkefjord";"Immigrants";3.3
"4211 Gjerstad";"Total";1.9
"4211 Gjerstad";"Immigrants";4.7
"4212 Veg?rshei";"Total";1.3
"4212 Veg?rshei";"Immigrants";2.0
"4213 Tvedestrand";"Total";2.2
"4213 Tvedestrand";"Immigrants";5.0
"4214 Froland";"Total";1.8
"4214 Froland";"Immigrants";4.7
"4215 Lillesand";"Total";1.8
"4215 Lillesand";"Immigrants";4.3
"4216 Birkenes";"Total";1.7
"4216 Birkenes";"Immigrants";4.3
"4217 ?mli";"Total";1.4
"4217 ?mli";"Immigrants";3.3
"4218 Iveland";"Total";2.3
"4218 Iveland";"Immigrants";5.0
"4219 Evje og Hornnes";"Total";1.1
"4219 Evje og Hornnes";"Immigrants";2.5
"4220 Bygland";"Total";:
"4220 Bygland";"Immigrants";:
"4221 Valle";"Total";0.7
"4221 Valle";"Immigrants";:
"4222 Bykle";"Total";2.0
"4222 Bykle";"Immigrants";2.9
"4223 Vennesla";"Total";2.0
"4223 Vennesla";"Immigrants";4.4
"4224 ?seral";"Total";1.7
"4224 ?seral";"Immigrants";:
"4225 Lyngdal";"Total";1.9
"4225 Lyngdal";"Immigrants";5.2
"4226 H?gebostad";"Total";0.9
"4226 H?gebostad";"Immigrants";:
"4227 Kvinesdal";"Total";2.0
"4227 Kvinesdal";"Immigrants";4.6
"4228 Sirdal";"Total";2.1
"4228 Sirdal";"Immigrants";3.6
"1101 Eigersund";"Total";2.0
"1101 Eigersund";"Immigrants";6.7
"1103 Stavanger";"Total";3.1
"1103 Stavanger";"Immigrants";6.0
"1106 Haugesund";"Total";2.5
"1106 Haugesund";"Immigrants";5.5
"1108 Sandnes";"Total";2.9
"1108 Sandnes";"Immigrants";6.3
"1111 Sokndal";"Total";1.3
"1111 Sokndal";"Immigrants";4.4
"1112 Lund";"Total";1.2
"1112 Lund";"Immigrants";3.3
"1114 Bjerkreim";"Total";1.3
"1114 Bjerkreim";"Immigrants";5.0
"1119 H?";"Total";2.0
"1119 H?";"Immigrants";5.7
"1120 Klepp";"Total";2.3
"1120 Klepp";"Immigrants";6.1
"1121 Time";"Total";2.1
"1121 Time";"Immigrants";4.7
"1122 Gjesdal";"Total";2.5
"1122 Gjesdal";"Immigrants";6.0
"1124 Sola";"Total";3.3
"1124 Sola";"Immigrants";6.7
"1127 Randaberg";"Total";2.3
"1127 Randaberg";"Immigrants";7.2
"1130 Strand";"Total";1.9
"1130 Strand";"Immigrants";4.6
"1133 Hjelmeland";"Total";1.6
"1133 Hjelmeland";"Immigrants";4.9
"1134 Suldal";"Total";1.2
"1134 Suldal";"Immigrants";3.7
"1135 Sauda";"Total";1.0
"1135 Sauda";"Immigrants";2.7
"1144 Kvits?y";"Total";:
"1144 Kvits?y";"Immigrants";:
"1145 Bokn";"Total";:
"1145 Bokn";"Immigrants";:
"1146 Tysv?r";"Total";1.9
"1146 Tysv?r";"Immigrants";5.2
"1149 Karm?y";"Total";1.9
