"region";"sex";"age";"Persons 2020"
"K-3447 S?ndre Land";"Males";"50-66 years";768
"K-3447 S?ndre Land";"Males";"67-79 years";409
"K-3447 S?ndre Land";"Males";"80-89 years";112
"K-3447 S?ndre Land";"Males";"90 years or older";8
"K-3447 S?ndre Land";"Females";"0-17 years";484
"K-3447 S?ndre Land";"Females";"18-49 years";972
"K-3447 S?ndre Land";"Females";"50-66 years";710
"K-3447 S?ndre Land";"Females";"67-79 years";403
"K-3447 S?ndre Land";"Females";"80-89 years";143
"K-3447 S?ndre Land";"Females";"90 years or older";41
"K-3448 Nordre Land";"Males";"0-17 years";616
"K-3448 Nordre Land";"Males";"18-49 years";1226
"K-3448 Nordre Land";"Males";"50-66 years";829
"K-3448 Nordre Land";"Males";"67-79 years";461
"K-3448 Nordre Land";"Males";"80-89 years";127
"K-3448 Nordre Land";"Males";"90 years or older";24
"K-3448 Nordre Land";"Females";"0-17 years";610
"K-3448 Nordre Land";"Females";"18-49 years";1178
"K-3448 Nordre Land";"Females";"50-66 years";808
"K-3448 Nordre Land";"Females";"67-79 years";534
"K-3448 Nordre Land";"Females";"80-89 years";185
"K-3448 Nordre Land";"Females";"90 years or older";35
"K-3449 S?r-Aurdal";"Males";"0-17 years";289
"K-3449 S?r-Aurdal";"Males";"18-49 years";522
"K-3449 S?r-Aurdal";"Males";"50-66 years";396
"K-3449 S?r-Aurdal";"Males";"67-79 years";234
"K-3449 S?r-Aurdal";"Males";"80-89 years";75
"K-3449 S?r-Aurdal";"Males";"90 years or older";9
"K-3449 S?r-Aurdal";"Females";"0-17 years";251
"K-3449 S?r-Aurdal";"Females";"18-49 years";464
"K-3449 S?r-Aurdal";"Females";"50-66 years";344
"K-3449 S?r-Aurdal";"Females";"67-79 years";245
"K-3449 S?r-Aurdal";"Females";"80-89 years";91
"K-3449 S?r-Aurdal";"Females";"90 years or older";34
"K-3450 Etnedal";"Males";"0-17 years";124
"K-3450 Etnedal";"Males";"18-49 years";218
"K-3450 Etnedal";"Males";"50-66 years";176
"K-3450 Etnedal";"Males";"67-79 years";100
"K-3450 Etnedal";"Males";"80-89 years";41
"K-3450 Etnedal";"Males";"90 years or older";8
"K-3450 Etnedal";"Females";"0-17 years";105
"K-3450 Etnedal";"Females";"18-49 years";217
"K-3450 Etnedal";"Females";"50-66 years";137
"K-3450 Etnedal";"Females";"67-79 years";99
"K-3450 Etnedal";"Females";"80-89 years";45
"K-3450 Etnedal";"Females";"90 years or older";9
"K-3451 Nord-Aurdal";"Males";"0-17 years";599
"K-3451 Nord-Aurdal";"Males";"18-49 years";1253
"K-3451 Nord-Aurdal";"Males";"50-66 years";730
"K-3451 Nord-Aurdal";"Males";"67-79 years";483
"K-3451 Nord-Aurdal";"Males";"80-89 years";129
"K-3451 Nord-Aurdal";"Males";"90 years or older";16
"K-3451 Nord-Aurdal";"Females";"0-17 years";565
"K-3451 Nord-Aurdal";"Females";"18-49 years";1154
"K-3451 Nord-Aurdal";"Females";"50-66 years";763
"K-3451 Nord-Aurdal";"Females";"67-79 years";490
"K-3451 Nord-Aurdal";"Females";"80-89 years";181
"K-3451 Nord-Aurdal";"Females";"90 years or older";50
"K-3452 Vestre Slidre";"Males";"0-17 years";212
"K-3452 Vestre Slidre";"Males";"18-49 years";391
"K-3452 Vestre Slidre";"Males";"50-66 years";285
"K-3452 Vestre Slidre";"Males";"67-79 years";145
"K-3452 Vestre Slidre";"Males";"80-89 years";48
"K-3452 Vestre Slidre";"Males";"90 years or older";7
"K-3452 Vestre Slidre";"Females";"0-17 years";196
"K-3452 Vestre Slidre";"Females";"18-49 years";359
"K-3452 Vestre Slidre";"Females";"50-66 years";259
"K-3452 Vestre Slidre";"Females";"67-79 years";154
"K-3452 Vestre Slidre";"Females";"80-89 years";54
"K-3452 Vestre Slidre";"Females";"90 years or older";15
"K-3453 ?ystre Slidre";"Males";"0-17 years";342
"K-3453 ?ystre Slidre";"Males";"18-49 years";625
"K-3453 ?ystre Slidre";"Males";"50-66 years";379
"K-3453 ?ystre Slidre";"Males";"67-79 years";241
"K-3453 ?ystre Slidre";"Males";"80-89 years";53
"K-3453 ?ystre Slidre";"Males";"90 years or older";7
"K-3453 ?ystre Slidre";"Females";"0-17 years";265
"K-3453 ?ystre Slidre";"Females";"18-49 years";596
"K-3453 ?ystre Slidre";"Females";"50-66 years";382
"K-3453 ?ystre Slidre";"Females";"67-79 years";245
"K-3453 ?ystre Slidre";"Females";"80-89 years";67
"K-3453 ?ystre Slidre";"Females";"90 years or older";27
"K-3454 Vang";"Males";"0-17 years";152
"K-3454 Vang";"Males";"18-49 years";322
"K-3454 Vang";"Males";"50-66 years";194
"K-3454 Vang";"Males";"67-79 years";123
"K-3454 Vang";"Males";"80-89 years";34
"K-3454 Vang";"Males";"90 years or older";6
"K-3454 Vang";"Females";"0-17 years";149
"K-3454 Vang";"Females";"18-49 years";271
"K-3454 Vang";"Females";"50-66 years";165
"K-3454 Vang";"Females";"67-79 years";115
"K-3454 Vang";"Females";"80-89 years";27
"K-3454 Vang";"Females";"90 years or older";20
"K-3801 Horten";"Males";"0-17 years";2810
"K-3801 Horten";"Males";"18-49 years";5590
"K-3801 Horten";"Males";"50-66 years";3088
"K-3801 Horten";"Males";"67-79 years";1656
"K-3801 Horten";"Males";"80-89 years";475
"K-3801 Horten";"Males";"90 years or older";74
"K-3801 Horten";"Females";"0-17 years";2542
"K-3801 Horten";"Females";"18-49 years";5261
"K-3801 Horten";"Females";"50-66 years";3148
"K-3801 Horten";"Females";"67-79 years";1898
"K-3801 Horten";"Females";"80-89 years";650
"K-3801 Horten";"Females";"90 years or older";159
"K-3802 Holmestrand";"Males";"0-17 years";2655
"K-3802 Holmestrand";"Males";"18-49 years";5037
"K-3802 Holmestrand";"Males";"50-66 years";2832
"K-3802 Holmestrand";"Males";"67-79 years";1533
"K-3802 Holmestrand";"Males";"80-89 years";367
"K-3802 Holmestrand";"Males";"90 years or older";53
"K-3802 Holmestrand";"Females";"0-17 years";2429
"K-3802 Holmestrand";"Females";"18-49 years";4786
"K-3802 Holmestrand";"Females";"50-66 years";2734
"K-3802 Holmestrand";"Females";"67-79 years";1643
"K-3802 Holmestrand";"Females";"80-89 years";485
"K-3802 Holmestrand";"Females";"90 years or older";145
"K-3803 T?nsberg";"Males";"0-17 years";5914
"K-3803 T?nsberg";"Males";"18-49 years";11974
"K-3803 T?nsberg";"Males";"50-66 years";6127
"K-3803 T?nsberg";"Males";"67-79 years";3040
"K-3803 T?nsberg";"Males";"80-89 years";848
"K-3803 T?nsberg";"Males";"90 years or older";168
"K-3803 T?nsberg";"Females";"0-17 years";5554
"K-3803 T?nsberg";"Females";"18-49 years";11507
"K-3803 T?nsberg";"Females";"50-66 years";6261
"K-3803 T?nsberg";"Females";"67-79 years";3332
"K-3803 T?nsberg";"Females";"80-89 years";1242
"K-3803 T?nsberg";"Females";"90 years or older";326
"K-3804 Sandefjord";"Males";"0-17 years";6892
"K-3804 Sandefjord";"Males";"18-49 years";13108
"K-3804 Sandefjord";"Males";"50-66 years";7094
"K-3804 Sandefjord";"Males";"67-79 years";3729
"K-3804 Sandefjord";"Males";"80-89 years";1017
"K-3804 Sandefjord";"Males";"90 years or older";157
"K-3804 Sandefjord";"Females";"0-17 years";6298
"K-3804 Sandefjord";"Females";"18-49 years";12543
"K-3804 Sandefjord";"Females";"50-66 years";7151
"K-3804 Sandefjord";"Females";"67-79 years";3956
"K-3804 Sandefjord";"Females";"80-89 years";1447
"K-3804 Sandefjord";"Females";"90 years or older";372
"K-3805 Larvik";"Males";"0-17 years";4817
"K-3805 Larvik";"Males";"18-49 years";9207
"K-3805 Larvik";"Males";"50-66 years";5554
"K-3805 Larvik";"Males";"67-79 years";3062
"K-3805 Larvik";"Males";"80-89 years";841
"K-3805 Larvik";"Males";"90 years or older";173
"K-3805 Larvik";"Females";"0-17 years";4483
"K-3805 Larvik";"Females";"18-49 years";8778
"K-3805 Larvik";"Females";"50-66 years";5550
"K-3805 Larvik";"Females";"67-79 years";3220
"K-3805 Larvik";"Females";"80-89 years";1180
"K-3805 Larvik";"Females";"90 years or older";339
"K-3806 Porsgrunn";"Males";"0-17 years";3603
"K-3806 Porsgrunn";"Males";"18-49 years";7518
"K-3806 Porsgrunn";"Males";"50-66 years";4124
"K-3806 Porsgrunn";"Males";"67-79 years";2214
"K-3806 Porsgrunn";"Males";"80-89 years";537
"K-3806 Porsgrunn";"Males";"90 years or older";109
"K-3806 Porsgrunn";"Females";"0-17 years";3467
"K-3806 Porsgrunn";"Females";"18-49 years";7194
"K-3806 Porsgrunn";"Females";"50-66 years";4145
"K-3806 Porsgrunn";"Females";"67-79 years";2384
"K-3806 Porsgrunn";"Females";"80-89 years";835
"K-3806 Porsgrunn";"Females";"90 years or older";267
"K-3807 Skien";"Males";"0-17 years";5744
"K-3807 Skien";"Males";"18-49 years";11157
"K-3807 Skien";"Males";"50-66 years";6139
"K-3807 Skien";"Males";"67-79 years";3286
"K-3807 Skien";"Males";"80-89 years";851
"K-3807 Skien";"Males";"90 years or older";137
"K-3807 Skien";"Females";"0-17 years";5401
"K-3807 Skien";"Females";"18-49 years";10764
"K-3807 Skien";"Females";"50-66 years";6207
"K-3807 Skien";"Females";"67-79 years";3638
"K-3807 Skien";"Females";"80-89 years";1255
"K-3807 Skien";"Females";"90 years or older";363
"K-3808 Notodden";"Males";"0-17 years";1323
"K-3808 Notodden";"Males";"18-49 years";2591
"K-3808 Notodden";"Males";"50-66 years";1539
"K-3808 Notodden";"Males";"67-79 years";840
"K-3808 Notodden";"Males";"80-89 years";232
"K-3808 Notodden";"Males";"90 years or older";61
"K-3808 Notodden";"Females";"0-17 years";1197
"K-3808 Notodden";"Females";"18-49 years";2409
"K-3808 Notodden";"Females";"50-66 years";1517
"K-3808 Notodden";"Females";"67-79 years";886
"K-3808 Notodden";"Females";"80-89 years";344
"K-3808 Notodden";"Females";"90 years or older";110
"K-3811 F?rder";"Males";"0-17 years";2840
"K-3811 F?rder";"Males";"18-49 years";4843
"K-3811 F?rder";"Males";"50-66 years";3165
"K-3811 F?rder";"Males";"67-79 years";1752
"K-3811 F?rder";"Males";"80-89 years";470
"K-3811 F?rder";"Males";"90 years or older";96
"K-3811 F?rder";"Females";"0-17 years";2621
"K-3811 F?rder";"Females";"18-49 years";4863
"K-3811 F?rder";"Females";"50-66 years";3375
"K-3811 F?rder";"Females";"67-79 years";1864
"K-3811 F?rder";"Females";"80-89 years";650
"K-3811 F?rder";"Females";"90 years or older";191
"K-3812 Siljan";"Males";"0-17 years";265
"K-3812 Siljan";"Males";"18-49 years";450
"K-3812 Siljan";"Males";"50-66 years";293
"K-3812 Siljan";"Males";"67-79 years";135
"K-3812 Siljan";"Males";"80-89 years";44
"K-3812 Siljan";"Males";"90 years or older";13
"K-3812 Siljan";"Females";"0-17 years";215
"K-3812 Siljan";"Females";"18-49 years";437
"K-3812 Siljan";"Females";"50-66 years";261
"K-3812 Siljan";"Females";"67-79 years";146
"K-3812 Siljan";"Females";"80-89 years";69
"K-3812 Siljan";"Females";"90 years or older";12
"K-3813 Bamble";"Males";"0-17 years";1411
"K-3813 Bamble";"Males";"18-49 years";2748
"K-3813 Bamble";"Males";"50-66 years";1648
"K-3813 Bamble";"Males";"67-79 years";1029
"K-3813 Bamble";"Males";"80-89 years";210
"K-3813 Bamble";"Males";"90 years or older";29
"K-3813 Bamble";"Females";"0-17 years";1367
"K-3813 Bamble";"Females";"18-49 years";2544
"K-3813 Bamble";"Females";"50-66 years";1697
"K-3813 Bamble";"Females";"67-79 years";1017
"K-3813 Bamble";"Females";"80-89 years";298
"K-3813 Bamble";"Females";"90 years or older";63
"K-3814 Krager?";"Males";"0-17 years";978
"K-3814 Krager?";"Males";"18-49 years";1916
"K-3814 Krager?";"Males";"50-66 years";1237
"K-3814 Krager?";"Males";"67-79 years";832
"K-3814 Krager?";"Males";"80-89 years";198
"K-3814 Krager?";"Males";"90 years or older";33
"K-3814 Krager?";"Females";"0-17 years";873
"K-3814 Krager?";"Females";"18-49 years";1807
"K-3814 Krager?";"Females";"50-66 years";1272
"K-3814 Krager?";"Females";"67-79 years";865
"K-3814 Krager?";"Females";"80-89 years";300
"K-3814 Krager?";"Females";"90 years or older";69
"K-3815 Drangedal";"Males";"0-17 years";399
"K-3815 Drangedal";"Males";"18-49 years";782
"K-3815 Drangedal";"Males";"50-66 years";505
"K-3815 Drangedal";"Males";"67-79 years";290
"K-3815 Drangedal";"Males";"80-89 years";73
"K-3815 Drangedal";"Males";"90 years or older";20
"K-3815 Drangedal";"Females";"0-17 years";386
"K-3815 Drangedal";"Females";"18-49 years";713
"K-3815 Drangedal";"Females";"50-66 years";474
"K-3815 Drangedal";"Females";"67-79 years";292
"K-3815 Drangedal";"Females";"80-89 years";87
"K-3815 Drangedal";"Females";"90 years or older";39
"K-3816 Nome";"Males";"0-17 years";651
"K-3816 Nome";"Males";"18-49 years";1228
"K-3816 Nome";"Males";"50-66 years";835
"K-3816 Nome";"Males";"67-79 years";461
"K-3816 Nome";"Males";"80-89 years";111
"K-3816 Nome";"Males";"90 years or older";25
"K-3816 Nome";"Females";"0-17 years";579
"K-3816 Nome";"Females";"18-49 years";1171
"K-3816 Nome";"Females";"50-66 years";766
"K-3816 Nome";"Females";"67-79 years";461
"K-3816 Nome";"Females";"80-89 years";157
"K-3816 Nome";"Females";"90 years or older";70
"K-3817 Midt-Telemark";"Males";"0-17 years";1097
"K-3817 Midt-Telemark";"Males";"18-49 years";2352
"K-3817 Midt-Telemark";"Males";"50-66 years";1032
"K-3817 Midt-Telemark";"Males";"67-79 years";637
"K-3817 Midt-Telemark";"Males";"80-89 years";175
"K-3817 Midt-Telemark";"Males";"90 years or older";20
"K-3817 Midt-Telemark";"Females";"0-17 years";999
"K-3817 Midt-Telemark";"Females";"18-49 years";2148
"K-3817 Midt-Telemark";"Females";"50-66 years";1027
"K-3817 Midt-Telemark";"Females";"67-79 years";648
"K-3817 Midt-Telemark";"Females";"80-89 years";238
"K-3817 Midt-Telemark";"Females";"90 years or older";71
"K-3818 Tinn";"Males";"0-17 years";485
"K-3818 Tinn";"Males";"18-49 years";1028
"K-3818 Tinn";"Males";"50-66 years";730
"K-3818 Tinn";"Males";"67-79 years";437
"K-3818 Tinn";"Males";"80-89 years";105
"K-3818 Tinn";"Males";"90 years or older";23
"K-3818 Tinn";"Females";"0-17 years";504
"K-3818 Tinn";"Females";"18-49 years";1014
"K-3818 Tinn";"Females";"50-66 years";694
"K-3818 Tinn";"Females";"67-79 years";464
"K-3818 Tinn";"Females";"80-89 years";144
"K-3818 Tinn";"Females";"90 years or older";63
"K-3819 Hjartdal";"Males";"0-17 years";164
"K-3819 Hjartdal";"Males";"18-49 years";266
"K-3819 Hjartdal";"Males";"50-66 years";207
"K-3819 Hjartdal";"Males";"67-79 years";122
"K-3819 Hjartdal";"Males";"80-89 years";32
"K-3819 Hjartdal";"Males";"90 years or older";8
"K-3819 Hjartdal";"Females";"0-17 years";157
"K-3819 Hjartdal";"Females";"18-49 years";264
"K-3819 Hjartdal";"Females";"50-66 years";163
"K-3819 Hjartdal";"Females";"67-79 years";121
"K-3819 Hjartdal";"Females";"80-89 years";53
"K-3819 Hjartdal";"Females";"90 years or older";16
"K-3820 Seljord";"Males";"0-17 years";289
"K-3820 Seljord";"Males";"18-49 years";531
"K-3820 Seljord";"Males";"50-66 years";340
"K-3820 Seljord";"Males";"67-79 years";219
"K-3820 Seljord";"Males";"80-89 years";59
"K-3820 Seljord";"Males";"90 years or older";9
"K-3820 Seljord";"Females";"0-17 years";289
"K-3820 Seljord";"Females";"18-49 years";500
"K-3820 Seljord";"Females";"50-66 years";321
"K-3820 Seljord";"Females";"67-79 years";237
"K-3820 Seljord";"Females";"80-89 years";74
"K-3820 Seljord";"Females";"90 years or older";20
"K-3821 Kviteseid";"Males";"0-17 years";198
"K-3821 Kviteseid";"Males";"18-49 years";456
"K-3821 Kviteseid";"Males";"50-66 years";342
"K-3821 Kviteseid";"Males";"67-79 years";177
"K-3821 Kviteseid";"Males";"80-89 years";58
"K-3821 Kviteseid";"Males";"90 years or older";4
"K-3821 Kviteseid";"Females";"0-17 years";198
"K-3821 Kviteseid";"Females";"18-49 years";397
"K-3821 Kviteseid";"Females";"50-66 years";309
"K-3821 Kviteseid";"Females";"67-79 years";167
"K-3821 Kviteseid";"Females";"80-89 years";75
"K-3821 Kviteseid";"Females";"90 years or older";22
"K-3822 Nissedal";"Males";"0-17 years";151
"K-3822 Nissedal";"Males";"18-49 years";257
"K-3822 Nissedal";"Males";"50-66 years";185
"K-3822 Nissedal";"Males";"67-79 years";108
"K-3822 Nissedal";"Males";"80-89 years";25
"K-3822 Nissedal";"Males";"90 years or older";4
"K-3822 Nissedal";"Females";"0-17 years";155
"K-3822 Nissedal";"Females";"18-49 years";235
"K-3822 Nissedal";"Females";"50-66 years";176
"K-3822 Nissedal";"Females";"67-79 years";106
"K-3822 Nissedal";"Females";"80-89 years";34
"K-3822 Nissedal";"Females";"90 years or older";12
"K-3823 Fyresdal";"Males";"0-17 years";123
"K-3823 Fyresdal";"Males";"18-49 years";239
"K-3823 Fyresdal";"Males";"50-66 years";167
"K-3823 Fyresdal";"Males";"67-79 years";99
"K-3823 Fyresdal";"Males";"80-89 years";24
"K-3823 Fyresdal";"Males";"90 years or older";6
"K-3823 Fyresdal";"Females";"0-17 years";131
"K-3823 Fyresdal";"Females";"18-49 years";218
"K-3823 Fyresdal";"Females";"50-66 years";152
"K-3823 Fyresdal";"Females";"67-79 years";89
"K-3823 Fyresdal";"Females";"80-89 years";30
"K-3823 Fyresdal";"Females";"90 years or older";9
"K-3824 Tokke";"Males";"0-17 years";199
"K-3824 Tokke";"Males";"18-49 years";415
"K-3824 Tokke";"Males";"50-66 years";308
"K-3824 Tokke";"Males";"67-79 years";146
"K-3824 Tokke";"Males";"80-89 years";52
"K-3824 Tokke";"Males";"90 years or older";7
"K-3824 Tokke";"Females";"0-17 years";201
"K-3824 Tokke";"Females";"18-49 years";356
"K-3824 Tokke";"Females";"50-66 years";271
"K-3824 Tokke";"Females";"67-79 years";154
"K-3824 Tokke";"Females";"80-89 years";69
"K-3824 Tokke";"Females";"90 years or older";23
"K-3825 Vinje";"Males";"0-17 years";370
"K-3825 Vinje";"Males";"18-49 years";730
"K-3825 Vinje";"Males";"50-66 years";445
"K-3825 Vinje";"Males";"67-79 years";242
"K-3825 Vinje";"Males";"80-89 years";69
"K-3825 Vinje";"Males";"90 years or older";10
"K-3825 Vinje";"Females";"0-17 years";331
"K-3825 Vinje";"Females";"18-49 years";672
"K-3825 Vinje";"Females";"50-66 years";425
"K-3825 Vinje";"Females";"67-79 years";266
"K-3825 Vinje";"Females";"80-89 years";89
"K-3825 Vinje";"Females";"90 years or older";27
"K-4201 Ris?r";"Males";"0-17 years";629
"K-4201 Ris?r";"Males";"18-49 years";1291
"K-4201 Ris?r";"Males";"50-66 years";807
"K-4201 Ris?r";"Males";"67-79 years";565
"K-4201 Ris?r";"Males";"80-89 years";123
"K-4201 Ris?r";"Males";"90 years or older";17
"K-4201 Ris?r";"Females";"0-17 years";578
"K-4201 Ris?r";"Females";"18-49 years";1174
"K-4201 Ris?r";"Females";"50-66 years";834
"K-4201 Ris?r";"Females";"67-79 years";563
"K-4201 Ris?r";"Females";"80-89 years";173
"K-4201 Ris?r";"Females";"90 years or older";55
"K-4202 Grimstad";"Males";"0-17 years";2641
"K-4202 Grimstad";"Males";"18-49 years";5285
"K-4202 Grimstad";"Males";"50-66 years";2336
"K-4202 Grimstad";"Males";"67-79 years";1214
"K-4202 Grimstad";"Males";"80-89 years";336
"K-4202 Grimstad";"Males";"90 years or older";41
"K-4202 Grimstad";"Females";"0-17 years";2647
"K-4202 Grimstad";"Females";"18-49 years";4859
"K-4202 Grimstad";"Females";"50-66 years";2332
"K-4202 Grimstad";"Females";"67-79 years";1312
"K-4202 Grimstad";"Females";"80-89 years";419
"K-4202 Grimstad";"Females";"90 years or older";122
"K-4203 Arendal";"Males";"0-17 years";4789
"K-4203 Arendal";"Males";"18-49 years";9135
"K-4203 Arendal";"Males";"50-66 years";4994
"K-4203 Arendal";"Males";"67-79 years";2750
"K-4203 Arendal";"Males";"80-89 years";711
"K-4203 Arendal";"Males";"90 years or older";108
"K-4203 Arendal";"Females";"0-17 years";4553
"K-4203 Arendal";"Females";"18-49 years";8746
"K-4203 Arendal";"Females";"50-66 years";5206
"K-4203 Arendal";"Females";"67-79 years";2822
"K-4203 Arendal";"Females";"80-89 years";928
"K-4203 Arendal";"Females";"90 years or older";257
"K-4204 Kristiansand";"Males";"0-17 years";12542
"K-4204 Kristiansand";"Males";"18-49 years";25134
"K-4204 Kristiansand";"Males";"50-66 years";11294
"K-4204 Kristiansand";"Males";"67-79 years";5178
"K-4204 Kristiansand";"Males";"80-89 years";1462
"K-4204 Kristiansand";"Males";"90 years or older";249
"K-4204 Kristiansand";"Females";"0-17 years";11822
"K-4204 Kristiansand";"Females";"18-49 years";24490
"K-4204 Kristiansand";"Females";"50-66 years";10991
"K-4204 Kristiansand";"Females";"67-79 years";5802
"K-4204 Kristiansand";"Females";"80-89 years";2119
"K-4204 Kristiansand";"Females";"90 years or older";550
"K-4205 Lindesnes";"Males";"0-17 years";2672
"K-4205 Lindesnes";"Males";"18-49 years";4593
"K-4205 Lindesnes";"Males";"50-66 years";2562
"K-4205 Lindesnes";"Males";"67-79 years";1370
"K-4205 Lindesnes";"Males";"80-89 years";324
"K-4205 Lindesnes";"Males";"90 years or older";54
"K-4205 Lindesnes";"Females";"0-17 years";2509
"K-4205 Lindesnes";"Females";"18-49 years";4381
"K-4205 Lindesnes";"Females";"50-66 years";2449
"K-4205 Lindesnes";"Females";"67-79 years";1477
"K-4205 Lindesnes";"Females";"80-89 years";483
"K-4205 Lindesnes";"Females";"90 years or older";172
"K-4206 Farsund";"Males";"0-17 years";1060
"K-4206 Farsund";"Males";"18-49 years";1943
"K-4206 Farsund";"Males";"50-66 years";1056
"K-4206 Farsund";"Males";"67-79 years";653
"K-4206 Farsund";"Males";"80-89 years";170
"K-4206 Farsund";"Males";"90 years or older";25
"K-4206 Farsund";"Females";"0-17 years";1024
"K-4206 Farsund";"Females";"18-49 years";1826
"K-4206 Farsund";"Females";"50-66 years";988
"K-4206 Farsund";"Females";"67-79 years";664
"K-4206 Farsund";"Females";"80-89 years";222
"K-4206 Farsund";"Females";"90 years or older";60
"K-4207 Flekkefjord";"Males";"0-17 years";990
"K-4207 Flekkefjord";"Males";"18-49 years";1782
"K-4207 Flekkefjord";"Males";"50-66 years";1054
"K-4207 Flekkefjord";"Males";"67-79 years";587
"K-4207 Flekkefjord";"Males";"80-89 years";175
"K-4207 Flekkefjord";"Males";"90 years or older";40
"K-4207 Flekkefjord";"Females";"0-17 years";941
"K-4207 Flekkefjord";"Females";"18-49 years";1578
"K-4207 Flekkefjord";"Females";"50-66 years";999
"K-4207 Flekkefjord";"Females";"67-79 years";575
"K-4207 Flekkefjord";"Females";"80-89 years";228
"K-4207 Flekkefjord";"Females";"90 years or older";79
"K-4211 Gjerstad";"Males";"0-17 years";223
"K-4211 Gjerstad";"Males";"18-49 years";501
"K-4211 Gjerstad";"Males";"50-66 years";292
"K-4211 Gjerstad";"Males";"67-79 years";180
"K-4211 Gjerstad";"Males";"80-89 years";44
"K-4211 Gjerstad";"Males";"90 years or older";7
"K-4211 Gjerstad";"Females";"0-17 years";222
"K-4211 Gjerstad";"Females";"18-49 years";429
"K-4211 Gjerstad";"Females";"50-66 years";278
"K-4211 Gjerstad";"Females";"67-79 years";173
"K-4211 Gjerstad";"Females";"80-89 years";59
"K-4211 Gjerstad";"Females";"90 years or older";20
"K-4212 Veg?rshei";"Males";"0-17 years";243
"K-4212 Veg?rshei";"Males";"18-49 years";417
"K-4212 Veg?rshei";"Males";"50-66 years";261
"K-4212 Veg?rshei";"Males";"67-79 years";107
"K-4212 Veg?rshei";"Males";"80-89 years";34
"K-4212 Veg?rshei";"Males";"90 years or older";2
"K-4212 Veg?rshei";"Females";"0-17 years";237
"K-4212 Veg?rshei";"Females";"18-49 years";398
"K-4212 Veg?rshei";"Females";"50-66 years";224
"K-4212 Veg?rshei";"Females";"67-79 years";107
"K-4212 Veg?rshei";"Females";"80-89 years";53
"K-4212 Veg?rshei";"Females";"90 years or older";14
"K-4213 Tvedestrand";"Males";"0-17 years";592
"K-4213 Tvedestrand";"Males";"18-49 years";1184
"K-4213 Tvedestrand";"Males";"50-66 years";711
"K-4213 Tvedestrand";"Males";"67-79 years";466
"K-4213 Tvedestrand";"Males";"80-89 years";96
"K-4213 Tvedestrand";"Males";"90 years or older";20
"K-4213 Tvedestrand";"Females";"0-17 years";562
"K-4213 Tvedestrand";"Females";"18-49 years";1102
"K-4213 Tvedestrand";"Females";"50-66 years";706
"K-4213 Tvedestrand";"Females";"67-79 years";433
"K-4213 Tvedestrand";"Females";"80-89 years";146
"K-4213 Tvedestrand";"Females";"90 years or older";35
"K-4214 Froland";"Males";"0-17 years";725
"K-4214 Froland";"Males";"18-49 years";1323
"K-4214 Froland";"Males";"50-66 years";602
"K-4214 Froland";"Males";"67-79 years";319
"K-4214 Froland";"Males";"80-89 years";67
"K-4214 Froland";"Males";"90 years or older";7
"K-4214 Froland";"Females";"0-17 years";665
"K-4214 Froland";"Females";"18-49 years";1242
"K-4214 Froland";"Females";"50-66 years";568
"K-4214 Froland";"Females";"67-79 years";319
"K-4214 Froland";"Females";"80-89 years";89
"K-4214 Froland";"Females";"90 years or older";25
"K-4215 Lillesand";"Males";"0-17 years";1262
"K-4215 Lillesand";"Males";"18-49 years";2253
"K-4215 Lillesand";"Males";"50-66 years";1233
"K-4215 Lillesand";"Males";"67-79 years";645
"K-4215 Lillesand";"Males";"80-89 years";160
"K-4215 Lillesand";"Males";"90 years or older";29
"K-4215 Lillesand";"Females";"0-17 years";1259
"K-4215 Lillesand";"Females";"18-49 years";2101
"K-4215 Lillesand";"Females";"50-66 years";1193
"K-4215 Lillesand";"Females";"67-79 years";682
"K-4215 Lillesand";"Females";"80-89 years";214
"K-4215 Lillesand";"Females";"90 years or older";43
"K-4216 Birkenes";"Males";"0-17 years";685
"K-4216 Birkenes";"Males";"18-49 years";1116
"K-4216 Birkenes";"Males";"50-66 years";513
"K-4216 Birkenes";"Males";"67-79 years";298
"K-4216 Birkenes";"Males";"80-89 years";68
"K-4216 Birkenes";"Males";"90 years or older";7
"K-4216 Birkenes";"Females";"0-17 years";631
"K-4216 Birkenes";"Females";"18-49 years";1041
"K-4216 Birkenes";"Females";"50-66 years";473
"K-4216 Birkenes";"Females";"67-79 years";292
"K-4216 Birkenes";"Females";"80-89 years";75
"K-4216 Birkenes";"Females";"90 years or older";27
"K-4217 ?mli";"Males";"0-17 years";195
"K-4217 ?mli";"Males";"18-49 years";366
"K-4217 ?mli";"Males";"50-66 years";216
"K-4217 ?mli";"Males";"67-79 years";135
"K-4217 ?mli";"Males";"80-89 years";33
"K-4217 ?mli";"Males";"90 years or older";4
"K-4217 ?mli";"Females";"0-17 years";202
"K-4217 ?mli";"Females";"18-49 years";328
"K-4217 ?mli";"Females";"50-66 years";184
"K-4217 ?mli";"Females";"67-79 years";112
"K-4217 ?mli";"Females";"80-89 years";54
"K-4217 ?mli";"Females";"90 years or older";7
"K-4218 Iveland";"Males";"0-17 years";173
"K-4218 Iveland";"Males";"18-49 years";279
"K-4218 Iveland";"Males";"50-66 years";144
"K-4218 Iveland";"Males";"67-79 years";73
"K-4218 Iveland";"Males";"80-89 years";14
"K-4218 Iveland";"Males";"90 years or older";4
"K-4218 Iveland";"Females";"0-17 years";168
"K-4218 Iveland";"Females";"18-49 years";251
