"region";"sex";"age";"Persons 2020"
"K-3013 Marker";"Males";"18-49 years";657
"K-3013 Marker";"Males";"50-66 years";452
"K-3013 Marker";"Males";"67-79 years";296
"K-3013 Marker";"Males";"80-89 years";85
"K-3013 Marker";"Males";"90 years or older";14
"K-3013 Marker";"Females";"0-17 years";295
"K-3013 Marker";"Females";"18-49 years";580
"K-3013 Marker";"Females";"50-66 years";428
"K-3013 Marker";"Females";"67-79 years";306
"K-3013 Marker";"Females";"80-89 years";117
"K-3013 Marker";"Females";"90 years or older";28
"K-3014 Indre ?stfold";"Males";"0-17 years";4764
"K-3014 Indre ?stfold";"Males";"18-49 years";9293
"K-3014 Indre ?stfold";"Males";"50-66 years";5045
"K-3014 Indre ?stfold";"Males";"67-79 years";2699
"K-3014 Indre ?stfold";"Males";"80-89 years";630
"K-3014 Indre ?stfold";"Males";"90 years or older";118
"K-3014 Indre ?stfold";"Females";"0-17 years";4519
"K-3014 Indre ?stfold";"Females";"18-49 years";8617
"K-3014 Indre ?stfold";"Females";"50-66 years";4987
"K-3014 Indre ?stfold";"Females";"67-79 years";2952
"K-3014 Indre ?stfold";"Females";"80-89 years";879
"K-3014 Indre ?stfold";"Females";"90 years or older";289
"K-3015 Skiptvet";"Males";"0-17 years";421
"K-3015 Skiptvet";"Males";"18-49 years";796
"K-3015 Skiptvet";"Males";"50-66 years";422
"K-3015 Skiptvet";"Males";"67-79 years";239
"K-3015 Skiptvet";"Males";"80-89 years";36
"K-3015 Skiptvet";"Males";"90 years or older";21
"K-3015 Skiptvet";"Females";"0-17 years";423
"K-3015 Skiptvet";"Females";"18-49 years";727
"K-3015 Skiptvet";"Females";"50-66 years";410
"K-3015 Skiptvet";"Females";"67-79 years";220
"K-3015 Skiptvet";"Females";"80-89 years";70
"K-3015 Skiptvet";"Females";"90 years or older";20
"K-3016 Rakkestad";"Males";"0-17 years";859
"K-3016 Rakkestad";"Males";"18-49 years";1674
"K-3016 Rakkestad";"Males";"50-66 years";969
"K-3016 Rakkestad";"Males";"67-79 years";525
"K-3016 Rakkestad";"Males";"80-89 years";127
"K-3016 Rakkestad";"Males";"90 years or older";31
"K-3016 Rakkestad";"Females";"0-17 years";834
"K-3016 Rakkestad";"Females";"18-49 years";1525
"K-3016 Rakkestad";"Females";"50-66 years";917
"K-3016 Rakkestad";"Females";"67-79 years";548
"K-3016 Rakkestad";"Females";"80-89 years";196
"K-3016 Rakkestad";"Females";"90 years or older";50
"K-3017 R?de";"Males";"0-17 years";847
"K-3017 R?de";"Males";"18-49 years";1498
"K-3017 R?de";"Males";"50-66 years";889
"K-3017 R?de";"Males";"67-79 years";476
"K-3017 R?de";"Males";"80-89 years";153
"K-3017 R?de";"Males";"90 years or older";30
"K-3017 R?de";"Females";"0-17 years";664
"K-3017 R?de";"Females";"18-49 years";1392
"K-3017 R?de";"Females";"50-66 years";822
"K-3017 R?de";"Females";"67-79 years";507
"K-3017 R?de";"Females";"80-89 years";177
"K-3017 R?de";"Females";"90 years or older";53
"K-3018 V?ler (?stfold)";"Males";"0-17 years";696
"K-3018 V?ler (?stfold)";"Males";"18-49 years";1250
"K-3018 V?ler (?stfold)";"Males";"50-66 years";619
"K-3018 V?ler (?stfold)";"Males";"67-79 years";284
"K-3018 V?ler (?stfold)";"Males";"80-89 years";67
"K-3018 V?ler (?stfold)";"Males";"90 years or older";8
"K-3018 V?ler (?stfold)";"Females";"0-17 years";680
"K-3018 V?ler (?stfold)";"Females";"18-49 years";1216
"K-3018 V?ler (?stfold)";"Females";"50-66 years";548
"K-3018 V?ler (?stfold)";"Females";"67-79 years";287
"K-3018 V?ler (?stfold)";"Females";"80-89 years";68
"K-3018 V?ler (?stfold)";"Females";"90 years or older";13
"K-3019 Vestby";"Males";"0-17 years";2213
"K-3019 Vestby";"Males";"18-49 years";3652
"K-3019 Vestby";"Males";"50-66 years";1904
"K-3019 Vestby";"Males";"67-79 years";1059
"K-3019 Vestby";"Males";"80-89 years";199
"K-3019 Vestby";"Males";"90 years or older";25
"K-3019 Vestby";"Females";"0-17 years";2130
"K-3019 Vestby";"Females";"18-49 years";3606
"K-3019 Vestby";"Females";"50-66 years";1803
"K-3019 Vestby";"Females";"67-79 years";1140
"K-3019 Vestby";"Females";"80-89 years";249
"K-3019 Vestby";"Females";"90 years or older";62
"K-3020 Nordre Follo";"Males";"0-17 years";7190
"K-3020 Nordre Follo";"Males";"18-49 years";12043
"K-3020 Nordre Follo";"Males";"50-66 years";6363
"K-3020 Nordre Follo";"Males";"67-79 years";3066
"K-3020 Nordre Follo";"Males";"80-89 years";854
"K-3020 Nordre Follo";"Males";"90 years or older";142
"K-3020 Nordre Follo";"Females";"0-17 years";6789
"K-3020 Nordre Follo";"Females";"18-49 years";11746
"K-3020 Nordre Follo";"Females";"50-66 years";6280
"K-3020 Nordre Follo";"Females";"67-79 years";3314
"K-3020 Nordre Follo";"Females";"80-89 years";1224
"K-3020 Nordre Follo";"Females";"90 years or older";277
"K-3021 ?s";"Males";"0-17 years";2210
"K-3021 ?s";"Males";"18-49 years";4915
"K-3021 ?s";"Males";"50-66 years";1980
"K-3021 ?s";"Males";"67-79 years";882
"K-3021 ?s";"Males";"80-89 years";265
"K-3021 ?s";"Males";"90 years or older";48
"K-3021 ?s";"Females";"0-17 years";2101
"K-3021 ?s";"Females";"18-49 years";4773
"K-3021 ?s";"Females";"50-66 years";1903
"K-3021 ?s";"Females";"67-79 years";929
"K-3021 ?s";"Females";"80-89 years";347
"K-3021 ?s";"Females";"90 years or older";86
"K-3022 Frogn";"Males";"0-17 years";1646
"K-3022 Frogn";"Males";"18-49 years";2847
"K-3022 Frogn";"Males";"50-66 years";2019
"K-3022 Frogn";"Males";"67-79 years";1054
"K-3022 Frogn";"Males";"80-89 years";245
"K-3022 Frogn";"Males";"90 years or older";24
"K-3022 Frogn";"Females";"0-17 years";1541
"K-3022 Frogn";"Females";"18-49 years";2838
"K-3022 Frogn";"Females";"50-66 years";2118
"K-3022 Frogn";"Females";"67-79 years";1135
"K-3022 Frogn";"Females";"80-89 years";347
"K-3022 Frogn";"Females";"90 years or older";63
"K-3023 Nesodden";"Males";"0-17 years";2385
"K-3023 Nesodden";"Males";"18-49 years";3740
"K-3023 Nesodden";"Males";"50-66 years";2244
"K-3023 Nesodden";"Males";"67-79 years";1022
"K-3023 Nesodden";"Males";"80-89 years";230
"K-3023 Nesodden";"Males";"90 years or older";37
"K-3023 Nesodden";"Females";"0-17 years";2256
"K-3023 Nesodden";"Females";"18-49 years";3865
"K-3023 Nesodden";"Females";"50-66 years";2354
"K-3023 Nesodden";"Females";"67-79 years";1067
"K-3023 Nesodden";"Females";"80-89 years";336
"K-3023 Nesodden";"Females";"90 years or older";80
"K-3024 B?rum";"Males";"0-17 years";15339
"K-3024 B?rum";"Males";"18-49 years";26071
"K-3024 B?rum";"Males";"50-66 years";13843
"K-3024 B?rum";"Males";"67-79 years";5979
"K-3024 B?rum";"Males";"80-89 years";1802
"K-3024 B?rum";"Males";"90 years or older";437
"K-3024 B?rum";"Females";"0-17 years";14474
"K-3024 B?rum";"Females";"18-49 years";25563
"K-3024 B?rum";"Females";"50-66 years";13760
"K-3024 B?rum";"Females";"67-79 years";6659
"K-3024 B?rum";"Females";"80-89 years";2862
"K-3024 B?rum";"Females";"90 years or older";942
"K-3025 Asker";"Males";"0-17 years";11177
"K-3025 Asker";"Males";"18-49 years";18944
"K-3025 Asker";"Males";"50-66 years";10691
"K-3025 Asker";"Males";"67-79 years";4933
"K-3025 Asker";"Males";"80-89 years";1340
"K-3025 Asker";"Males";"90 years or older";223
"K-3025 Asker";"Females";"0-17 years";10652
"K-3025 Asker";"Females";"18-49 years";18640
"K-3025 Asker";"Females";"50-66 years";10353
"K-3025 Asker";"Females";"67-79 years";5166
"K-3025 Asker";"Females";"80-89 years";1876
"K-3025 Asker";"Females";"90 years or older";446
"K-3026 Aurskog-H?land";"Males";"0-17 years";1769
"K-3026 Aurskog-H?land";"Males";"18-49 years";3545
"K-3026 Aurskog-H?land";"Males";"50-66 years";2043
"K-3026 Aurskog-H?land";"Males";"67-79 years";1058
"K-3026 Aurskog-H?land";"Males";"80-89 years";284
"K-3026 Aurskog-H?land";"Males";"90 years or older";52
"K-3026 Aurskog-H?land";"Females";"0-17 years";1795
"K-3026 Aurskog-H?land";"Females";"18-49 years";3365
"K-3026 Aurskog-H?land";"Females";"50-66 years";1847
"K-3026 Aurskog-H?land";"Females";"67-79 years";1163
"K-3026 Aurskog-H?land";"Females";"80-89 years";364
"K-3026 Aurskog-H?land";"Females";"90 years or older";105
"K-3027 R?lingen";"Males";"0-17 years";2275
"K-3027 R?lingen";"Males";"18-49 years";4178
"K-3027 R?lingen";"Males";"50-66 years";1933
"K-3027 R?lingen";"Males";"67-79 years";806
"K-3027 R?lingen";"Males";"80-89 years";187
"K-3027 R?lingen";"Males";"90 years or older";27
"K-3027 R?lingen";"Females";"0-17 years";2102
"K-3027 R?lingen";"Females";"18-49 years";4003
"K-3027 R?lingen";"Females";"50-66 years";1821
"K-3027 R?lingen";"Females";"67-79 years";886
"K-3027 R?lingen";"Females";"80-89 years";264
"K-3027 R?lingen";"Females";"90 years or older";48
"K-3028 Enebakk";"Males";"0-17 years";1339
"K-3028 Enebakk";"Males";"18-49 years";2378
"K-3028 Enebakk";"Males";"50-66 years";1230
"K-3028 Enebakk";"Males";"67-79 years";623
"K-3028 Enebakk";"Males";"80-89 years";109
"K-3028 Enebakk";"Males";"90 years or older";11
"K-3028 Enebakk";"Females";"0-17 years";1258
"K-3028 Enebakk";"Females";"18-49 years";2246
"K-3028 Enebakk";"Females";"50-66 years";1143
"K-3028 Enebakk";"Females";"67-79 years";593
"K-3028 Enebakk";"Females";"80-89 years";148
"K-3028 Enebakk";"Females";"90 years or older";32
"K-3029 L?renskog";"Males";"0-17 years";4729
"K-3029 L?renskog";"Males";"18-49 years";9216
"K-3029 L?renskog";"Males";"50-66 years";4397
"K-3029 L?renskog";"Males";"67-79 years";2030
"K-3029 L?renskog";"Males";"80-89 years";517
"K-3029 L?renskog";"Males";"90 years or older";73
"K-3029 L?renskog";"Females";"0-17 years";4397
"K-3029 L?renskog";"Females";"18-49 years";8766
"K-3029 L?renskog";"Females";"50-66 years";4327
"K-3029 L?renskog";"Females";"67-79 years";2204
"K-3029 L?renskog";"Females";"80-89 years";672
"K-3029 L?renskog";"Females";"90 years or older";132
"K-3030 Lillestr?m";"Males";"0-17 years";9871
"K-3030 Lillestr?m";"Males";"18-49 years";19195
"K-3030 Lillestr?m";"Males";"50-66 years";9220
"K-3030 Lillestr?m";"Males";"67-79 years";3906
"K-3030 Lillestr?m";"Males";"80-89 years";1114
"K-3030 Lillestr?m";"Males";"90 years or older";158
"K-3030 Lillestr?m";"Females";"0-17 years";9413
"K-3030 Lillestr?m";"Females";"18-49 years";18222
"K-3030 Lillestr?m";"Females";"50-66 years";8551
"K-3030 Lillestr?m";"Females";"67-79 years";4359
"K-3030 Lillestr?m";"Females";"80-89 years";1600
"K-3030 Lillestr?m";"Females";"90 years or older";374
"K-3031 Nittedal";"Males";"0-17 years";2964
"K-3031 Nittedal";"Males";"18-49 years";5065
"K-3031 Nittedal";"Males";"50-66 years";2683
"K-3031 Nittedal";"Males";"67-79 years";1124
"K-3031 Nittedal";"Males";"80-89 years";294
"K-3031 Nittedal";"Males";"90 years or older";35
"K-3031 Nittedal";"Females";"0-17 years";2909
"K-3031 Nittedal";"Females";"18-49 years";5022
"K-3031 Nittedal";"Females";"50-66 years";2505
"K-3031 Nittedal";"Females";"67-79 years";1202
"K-3031 Nittedal";"Females";"80-89 years";375
"K-3031 Nittedal";"Females";"90 years or older";71
"K-3032 Gjerdrum";"Males";"0-17 years";887
"K-3032 Gjerdrum";"Males";"18-49 years";1443
"K-3032 Gjerdrum";"Males";"50-66 years";811
"K-3032 Gjerdrum";"Males";"67-79 years";337
"K-3032 Gjerdrum";"Males";"80-89 years";85
"K-3032 Gjerdrum";"Males";"90 years or older";8
"K-3032 Gjerdrum";"Females";"0-17 years";705
"K-3032 Gjerdrum";"Females";"18-49 years";1380
"K-3032 Gjerdrum";"Females";"50-66 years";722
"K-3032 Gjerdrum";"Females";"67-79 years";371
"K-3032 Gjerdrum";"Females";"80-89 years";129
"K-3032 Gjerdrum";"Females";"90 years or older";12
"K-3033 Ullensaker";"Males";"0-17 years";4695
"K-3033 Ullensaker";"Males";"18-49 years";9391
"K-3033 Ullensaker";"Males";"50-66 years";3959
"K-3033 Ullensaker";"Males";"67-79 years";1594
"K-3033 Ullensaker";"Males";"80-89 years";427
"K-3033 Ullensaker";"Males";"90 years or older";62
"K-3033 Ullensaker";"Females";"0-17 years";4661
"K-3033 Ullensaker";"Females";"18-49 years";8809
"K-3033 Ullensaker";"Females";"50-66 years";3516
