kommune_no,kommune_name,population,date,median_age,unemp_tot,unemp_immg,workers_ft_work,workers_pt_work,construction_ft_work,construction_pt_work,immigrants_total,marketplace,entertainment,sport,clinic,hairdresser,shops,place_of_worship,retail,nursing_home,restaurant,aerodrome,office,platform,kindergarten,schools,bakeries,residential,higher_education,idarea_1,idarea_2,area,pop_dens,urb_dens,sex
4222,Bykle,965,2021-05-13,40,2,2.9,415,133,103,19,17.93,0,0,4,4,1,3,3,0,0,5,0,3,2,4,7,0,208,0,230,230,1462.656753771492,0.6597583455665361,0.14220698018428965,0.5202072538860104
4223,Vennesla,14774,2021-05-13,37,2,4.4,2473,1486,443,49,10.86,0,0,1,3,0,13,6,3,1,0,0,0,9,14,14,0,150,0,231,231,377.8947452316513,39.09554230753716,0.3969359243353576,0.5054149180993638
4224,Åseral,932,2021-05-13,40,1.7,NA,204,237,61,12,9.66,0,0,10,1,0,3,3,9,0,0,0,7,0,1,1,0,64,0,232,232,885.4324844570771,1.0525929603446578,0.07228106165456878,0.5075107296137339
4225,Lyngdal,10365,2021-05-13,37,1.9,5.2,2630,1457,419,57,11.52,0,1,3,6,6,15,19,18,1,6,0,0,19,11,14,4,371,0,233,233,876.1179015993457,11.83059949018138,0.4234589880228936,0.5051616015436565
4226,Hægebostad,1680,2021-05-13,39,0.9,NA,296,268,62,13,6.73,0,0,0,1,0,3,2,10,0,0,0,0,2,2,2,0,10,0,234,234,469.9031770171193,3.575204599944203,0.021280979761572637,0.5172619047619048
4227,Kvinesdal,5987,2021-05-13,41,2,4.6,1101,735,148,12,9.8,1,2,5,2,1,8,8,0,2,2,0,1,15,8,8,0,184,0,235,235,968.706616274564,6.180405810610344,0.18994399017075383,0.50409219976616
4228,Sirdal,1822,2021-05-13,40,2.1,3.6,591,274,154,11,10.59,0,2,1,2,0,5,4,2,0,4,0,0,1,3,6,0,317,0,236,236,1561.7951340030625,1.1666062726998017,0.20297156336214991,0.5164654226125137
4601,Bergen,283929,2021-05-13,37,3.3,7.5,116501,38193,11019,946,15.18,1,22,85,201,148,226,73,59,1,225,3,56,501,155,152,22,9633,88,237,237,564.132819249525,503.30168767297624,17.07576597442945,0.5031926995833466
4602,Kinn,17207,2021-05-13,41,1.5,3.8,5549,1706,536,53,12.2,0,1,0,4,0,6,2,0,0,0,0,0,12,1,5,0,22,0,238,238,2892.7106186590127,5.948400053917847,0.007605323483825922,0.5134538269309002
4611,Etne,4062,2021-05-13,42,1.9,6.1,770,517,151,32,9.5,0,1,0,4,0,6,8,0,0,0,0,0,0,0,2,1,21,0,239,239,814.017809881798,4.99006281028401,0.025797961353019254,0.5224027572624323
4612,Sveio,5766,2021-05-13,38,1.5,2.6,751,472,171,23,10.27,0,0,0,4,0,5,5,0,0,0,0,0,10,0,6,0,291,0,240,240,379.31420980335065,15.201117835762837,0.7671740010764803,0.5230662504335761
4613,Bømlo,11957,2021-05-13,39,2,5.8,2855,1322,411,48,10.48,0,1,2,7,2,13,10,9,1,3,0,0,14,0,12,0,61,0,241,241,1658.3768375901275,7.2100621095114485,0.0367829546441581,0.5149284937693401
4614,Stord,18759,2021-05-13,38,2.1,5.2,6191,2289,505,46,10.62,0,2,5,14,0,17,3,6,0,8,1,43,20,12,13,1,235,1,242,242,225.54835018203232,83.17063718205101,1.0419052048500448,0.5081827389519697
4615,Fitjar,3189,2021-05-13,40,1.7,5.2,554,341,112,10,7.96,0,1,0,1,1,2,4,0,0,0,0,0,7,6,4,0,927,1,243,243,240.6008662916603,13.254316366983659,3.8528539580413455,0.5136406396989652
4616,Tysnes,2869,2021-05-13,45,1.5,4.2,628,342,82,12,9.1,0,0,0,3,1,7,4,2,1,1,0,1,11,1,3,0,100,0,244,244,481.60984075217556,5.957104189397816,0.20763695327284126,0.5050540257929592
4617,Kvinnherad,13071,2021-05-13,44,1.3,4.4,3211,1627,412,53,7.44,0,3,1,10,2,20,12,7,1,6,0,1,21,8,19,1,250,0,245,245,1508.8495310899712,8.662891647358434,0.16568915246267374,0.5058526509065872
4618,Ullensvang,11048,2021-05-13,46,1.8,5,3083,1382,374,64,10.55,0,1,2,9,1,15,8,5,0,7,0,0,21,3,11,0,449,0,246,246,3430.250329267952,3.2207561954691943,0.1308942371257846,0.5058834178131788
4619,Eidfjord,906,2021-05-13,46,3,NA,201,131,31,7,10.04,0,0,0,1,0,3,2,0,0,3,0,0,0,1,1,0,106,0,247,247,1531.9844031566086,0.5913898327771574,0.06919130493860781,0.4911699779249448
4620,Ulvik,1080,2021-05-13,47,3.2,13.4,179,126,21,0,14.44,0,1,0,2,0,2,1,1,0,1,0,0,4,1,2,0,17,0,248,248,741.567995312899,1.456373531255623,0.022924398177171842,0.5138888888888888
4621,Voss,15740,2021-05-13,42,2.3,7.8,4309,2065,775,84,8.88,1,2,4,15,7,25,10,9,2,15,1,6,74,16,16,2,1092,1,249,249,2083.4789053976465,7.55467212037643,0.52412337709346,0.49872935196950446
4622,Kvam,8457,2021-05-13,43,1.7,7,1855,1124,252,28,10.29,0,1,2,5,0,10,6,3,0,2,0,0,2,1,13,0,48,0,250,250,765.2050097480513,11.051940188923385,0.06272828769874926,0.5085727799456072
4623,Samnanger,2485,2021-05-13,43,1.6,4.1,227,247,31,9,8.37,0,0,0,2,0,3,3,0,1,0,0,0,31,2,2,0,3,0,251,251,285.8396068674357,8.693686740034149,0.010495396466842033,0.5259557344064386
